abracadabra|exclamation. 表演魔术、施魔法时所念的咒语
fly|vi. 指故事、传闻或谣言被很多人谈论。是一个形象化用词
for|prep. 意思是…
full|adj. full of sth（人）关于某事物谈论得很多的
gabble|vt.&vi. [非正式] ~ (on/away) 急促而含混不清地说
gesticulate|vi. 移动手臂（以吸引注意力或向某人传达意思），如打手势、比划
gesture|n. 1 [C, U] 用你的手、头、脸等所做出的示意性动作（该动作表达了某种意思）
gesture|vt.＆vi. gesture (for/to sb) (to do sth) 用手、头、脸等做出某个动作以表示自己的意思或意愿，即用动作示意
gibber|vt.&vi.（常因害怕而）急促不清地说、语无伦次地说
gibberish|n. [U] [非正式] 无意义或令人费解的话
gist|n. [sing.]（通常用the gist ~ (of sth)（文章、讲话或交谈的）要点、主旨、大意
go|vi. 发出信号（或警告）
gossip|n. 1 [U] [贬]（对别人私生活的）流言蜚语、闲言碎语（这些流言蜚语未必友好，也未必真实）
groan|vt.&vi. ~ (at/with sth)（因为烦恼、痛苦或高兴而）呻吟、哼哼
grumble|vt.&vi. ~ (at/to sb) (about/at sb/sth) 咕哝、嘟囔
grunt|vt.&vi.（人）（尤指因为疼痛、烦恼或不感兴趣）发出嘟哝声
gush|vt.&vi. [贬] 过分地表现对某人或某事物的感情（而看起来不真诚）
harp|vi. ~ on (about sth) / ~ on sth 喋喋不休地谈论；唠叨（常令人烦躁）
heading|n. [C] 讲话的主题
hearsay|n. [U] 从别人那里听到的、未必真实的事情，即道听途说、传闻、传言
hedge|vi. 避免正面回答；避免直接许诺（支持某个想法等）。如拐弯抹角
hiss|vi. ~ (at sb) 带怒气地低声说出（某事），即低声喝斥
howl|vt.＆vi. 大声且愤怒地说某事，如怒吼
hum|exclamation. 用于踌躇时发出声音，如嗯、呃
hurl|vt. ~ abuse, accusations, insults, etc. (at sb) 气势汹汹地大声喊出（辱骂等恶言）
hysteria|n. [U] [贬] 特别激动且夸张的行为方式，对某事的夸张反应
import|n. [C] 单数名词，the import (of sth)指意思，含义，尤指不能立即理解（或难以理解）的含义，为正式用法。不常用
indeed|adv. [非正式] 用于重复某人已问过的一个问题，并表示你不知道答案
inflate|vi. 夸大（数额、效果等，以使某事看起来比实际上好，从而可以从中取利）
inscription|n. 1 [C] 被刻在石头或金属（如墓碑或奖牌）上的文字，如铭文；碑文
insist|vt.＆vi. insist (on sth)（尤指当其他人不相信你的时候）坚定地说某事属实，即坚持说，坚称
insistent|adj. ~ (on sth/on doing sth) / ~ (that…) 坚称的
intend|vt. intend sth (by sth) / intend sth (as sth) 意思是…，意指，类似于mean，但远不如mean常用
jabber|vt.&vi. [贬] 急促、激动而含混不清地说
jargon|n. [U] [常贬]（专业人士所说的，别人很难理解的）行话、术语
keynote|n. [usually sing.]（演讲的）主旨、主题
lead|vt.（在讨论或文章中的某个观点或话题等）引导你到与之相关的另一个观点或话题等
leak|vt. leak sth (to sb) 将秘密信息透露出去（例如通过报纸来爆料）
leave|vt. 不再谈论某一话题（而是转而去谈另一话题）
line|n. [C] [非正式]（尤指为达到某一目的所说的）话，言语
lip|n. [U] [非正式] 对某人所说的粗鲁无礼的话
loaded|adj.（问题或词语）意味深长的，另有所指的，哄骗性的
magnify|vt. 夸大重要性或严重程度。相当于exaggerate
maintain|vt. ~ that（在别人不同意的情况下）坚称…
mean|vt. 1 mean sth (to sb) 表示…的意思
meaning|n. 1 [U, C] meaning (of sth)（声音、文字、符号等所代表的）意思。是一个常规用词
meaningful|adj. 1（也可用不太常用的meaning）不说话而要对某人表达某事的，如（眼神、姿势）意味深长的、意在言外的
misrepresent|vt. [常用被动式] ~ sb/sth (as sth) 给出虚假（或不完整）的信息以使人产生误解，如歪曲
moan|vt.&vi.（人）呻吟（通常表达不悦、痛苦或性快感）
monologue|n. [C]（交谈中的一个人）滔滔不绝的讲话（使别人没办法插嘴）
motion|n. [C] 用手或头所做的为传递信息的动作
motion|vt.&vi. ~ to sb (to do sth) / ~ (for) sb to do sth（通常用手或头）做一个动作（以告诉某人你想要让其去做某事），即示意
mouth|n. [C] 指某种讲话内容
mouth|n. [C] 指某种讲话方式
mouth|vt.＆vi. [贬] 说出并非自己真实感受的话，或说出自己不相信或不理解的话，即言不由衷地说
mouth|vt.＆vi. 用嘴唇不出声地说
mumble|vt.&vi. 低声而口齿不清地说，如嘟哝
murmur|vt.&vi.（难以听到或理解的）低声细语、喃喃细语
mutter|vt.&vi. ~ (sth) (to sb/yourself) (about sth)（尤指因生气、烦恼而）小声嘀咕、嘟囔
nonsense|n. 1 [U, C] 被认为荒谬或错误的言论，如胡扯、胡言乱语
note|n. [C] note (of sth) 单数名词，指某人声音中的语气、调子等，如
oblique|adj.（言语或行为）间接的、不直截了当的
off|prep. 离开主题或故意避开话题
onto|prep.（谈论过程中）转向新的话题
overtone|n. [usually pl.] 弦外之音；言外之意；暗示
overture|n. [usually pl.] ~ (to sb) ~ (to sb)（为与别人建立友好关系、讨论某事等而做出的）友好的姿态，提议
palaver|n. [U] [美] [非正式] 没有任何意义的话，如空话、废话
parade|vt.&vi. ~ (sb/sth) as sth（使）冒充，伪装，打扮成好或重要的样子（虽然实际并非如此）, 也可称为吹嘘、夸耀
pardon|exclamation.（美尤用pardon me）由于自己未听到或未理解而请求某人重复某事，即请再说一遍
parlance|n. [U] [正式]（例如某一群人所用的）用语、术语、说法
parrot|vt. [贬] 重复别人说过的话而不思考所说的意思，即鹦鹉学舌地说
patter|n. [U, sing.]（通常以娱乐、推销或劝说为目的的）不间断的说话，顺口溜，伶俐话，连珠炮似的叫卖语
place|n. [C]（一篇讲话的）某个点，或称某处，尤指某人在某时所说到的位置
point|n. [U, sing.] 意思。是一个简单用词
ponderous|adj. [正式] [贬]（言语）慢条斯理的、（文字）沉闷乏味的
posture|vi. [正式] ~ (as sth) 故作姿态、装样子（以给别人留下印象或愚弄别人）
press|vt. 坚决地表达或重复（观点、要求或事情）
prevaricate|vi. [正式] 避免直接给出问题的答案（以隐藏真相），如支吾其词、搪塞、吞吞吐吐
protest|vt.（尤指被指控时，或人们不相信你时）坚决地表示某事是真实的，也可称为申辩
puff|n. [C]（美式也用puff piece）[非正式，常贬] 吹捧的文章（或讲话）
raise|vt. 提高嗓门说话（尤指因生气而提高嗓门）
ramble|vi. ~ (on) (about sb/sth) 漫谈，尤指长时间东拉西扯
rap|vt. ~ sth (out) 突然、快速、大声、愤怒地说
rather|adv. 用于纠正自己所说过的话或提供更确切的信息，如更准确地说、更确切地讲
recital|n. [C]（口述）逐一列举，长时间的叙说、乏味的唠叨
rehearsal|n. [C, usually sing.] ~ of sth [正式] 复述（某人所说过的话）
rehearse|vt. [正式，常贬] 照搬或重复（先前已有的观点）
remark|n. [C] 就…所说出或写出的观点、想法等，即评论，谈论，言论。相当于comment
renew|vt. 重申；重复强调
repeat|vt. repeat (sth/yourself) 再次（或多于一遍地）说或写…，即重复；重说，重写。是此义的常规用词
report|vt. be reported用于表示某事已被陈述出来（而你并不知道此事是真是假），即据说，传闻
retell|vt.（常以一种不同的方式）复述或重新讲述（一个故事等）
rhetoric|n. [U] [正式，常贬]（试图去影响别人，但并不是很真诚的）言语，如花言巧语
roar|vt.&vi. ~ (sth) (out) 大声说
romance|vi. 渲染（某事，使其比原本的真实情况更有趣、更激动人心）
rot|n. [U] [旧时，英] 废话；胡说。相当于rubbish
roundabout|adj. 常作前置定语，指说话兜圈子的、迂回的、拐弯抹角的
rumour|n. [C, U] ~ (of/about sth) | ~ (that …) 谣言、传闻
scandal|n. 1 [C, U]（让公众震惊或愤怒的）道德或法律上的丑行或丑事，常翻译为“丑闻”
scream|vt.＆vi. scream (sth) (out) (at sb) / scream (out) (for sth/sb)（因恐惧、发怒等而）尖叫地喊出某事，相当于yell
screech|vt.&vi. 尖声地说
sense|n. [C] 文字、字词、言语所具有的含义（此时与meaning没有明显不同，只是sense仅为可数名词，且不如meaning常用）；理解…的方式。常翻译为“意义”（如狭义、广义等）
shaft|n. [正式] ~ of sth 意在激怒别人的机智的话
shot|n. [C] 在争论中，可表示针对对手所发出的一席话（常为一系列话语中的一个）
shout|vt.＆vi. shout (sth) (at/to sb) / shout (at sb to do sth) 大声说某事；朝某人大声或愤怒地说
shriek|vt. ~ (sth) (at sb) 尖声说
shrill|adj.（要求、抗议、声明等）大声而坚决的；不依不饶的
sigh|vi. 叹着气说，叹息道
sign|n. [C] 用以向某人传递信息的动作或声音，如示意、手势
sign|vi. ~ (to sb) (to do sth) 向某人示意（尤指打手势）
significance|n. [U, C] 某事物的意思或含义。不常用
significant|adj. 1 [常用于名词前] 有特别含义的（并非所有人都能理解的），意味深长的。相当于meaningful
skim|vt.&vi. 肤浅或一带而过地阐述或表现一个问题
skirt|vt.＆vi. skirt (around/round) sth 避免谈论某一话题（尤指因为困难或尴尬）
slang|n. [U] 尤指一群志趣相投的人（如青少年、罪犯、士兵等）所说的、非正式的口语用词和表达法，可称为俚语
slur|vt.（通常因醉酒、生病、疲劳或困倦而）含混不清地说话
smile|vt.＆vi. 微笑地说（或表达）
snap|vt.&vi. ~ (at sb) 不耐烦地说、生气地说、没好气地说
snarl|vt. ~ (sth) (at sb)愤怒或坏脾气地说，如吼着说
sniff|vt.＆vi. 抱怨地说；不同意或不以为然地说
snort|vt.&vi. 人（表示气愤或被逗乐）喷鼻息，哼
sob|vt.＆vi. sob sth (out) 哭泣的同时说某事，即哭诉，抽噎着说
speech|n. [U] 某人的说话方式
spell|n. [C] 有魔力的文字，即咒语或符咒；也可指念咒语时所施的魔法
spit|vt.＆vi. 愤怒地说，或带有攻击性地说
squeak|vt.&vi.（尤指紧张或激动时）尖声说话
stammer|vt.&vi. 结结巴巴地说。相当于stutter
storm|vi. 大声且愤怒地说…，即怒吼
stray|vi.（谈话时）离题
strong|adj.（言辞或言语）强硬的，常引起对他人的冒犯的
stumble|vi. ~ (over/through sth) 不顺畅地说话
stutter|vt.&vi. 结巴；结巴地说。相当于stammer
subject|n. [C] 在谈话中，可指人们所讨论的人、事件或事物，即话题（其本义为处置的主题，是一个基础用词，词义范围较广，话题只是其若干义项中的一个）
substance|n. [U] …的最重要（或主要）部分，如主旨、要点、实质、基本内容
synonymous|adj.（词语或表达法）同义的、近义的
talk|n. [U] [非正式]（没有事实或实际行动支持的）空话；空谈
talk|n. [U] talk (of sth/of doing sth) / talk (that …) 传言；谣言；流言飞语；（对未来可能发生的事件的）揣测。是一个简单用词
talk|n. [U] 常构成复合词，指交谈的话题；或说话方式
talk|vi. 谈论某人的私生活，即嚼舌头，相当于gossip
tangent|n. [C] fly/go off at a ~ [英] [美为go off on a ~] [非正式] 突然转换话题
tell|vi. 让某人知道一个秘密，即泄露（秘密），告发。是一个简单用词
tenor|n. [sing]. the ~ of sth为正式用法，指言语等的大意、要领、要旨
terminology|n. 1 [U, C] 某学科的术语
theme|n. [C]（谈话或讨论等的）主题
thing|n. 某人的话语。是一个概括性用词。词义边界较为模糊
throw|vt. throw your voice 使你的声音听起来像是来自另外一个人或地方，相当于project
thrust|n. [sing.] the thrust指（论据、政策、思想、活动等的）要点、要旨、重点
thunder|vt.＆vi. 非常大声且愤怒地抱怨等，为文学用语
tongue|n. [C] 某人的所说的话。是一种指代用法，虽然远不如word常用，但也还算常用。具有一定的文学色彩
tongue|n. [sing.] 某种说话方式
topic|n. [C] 谈论的某个主题，即话题。与subject未见明显差别
trumpet|vt. ~ sth (as sth) 自豪或热情地公开谈论某事物，如鼓吹、吹嘘
twist|vt. 故意曲解某人所说过的话；为得到好处或伤害别人而歪曲事实。相当于misrepresent
understatement|n. 1 [C] 不充分的叙述，轻描淡写的叙述
undertone|n. [C] ~ (of sth)（说话的）低声、悄声
undertone|n. [C]（某人的话语或行为）间接表达出来的意思、感情等，如寓意、弦外之音
unequivocal|adj. [正式]（观点或意愿）表达得明确的、斩钉截铁的
veer|vi.（交谈）改变方向
vein|n. [sing, U] 行文（或说话）的某种风格、语气
whimper|vi. 发出低弱哭声的同时说，即抽抽搭搭地说
whisper|n. [C] 通过谈论而被传开的真假未知的新闻，即传言，相当于rumour，不过不如rumour常规和常用
whisper|vt.＆vi. 对某人以极安静的方式说话，使其他人听不见你说什么，如私语，耳语，低语等，相当于murmur
windy|adj. [非正式，贬] 指讲话夸夸其谈的、废话连篇依然讲不清楚的
word|n. [C] 所说的话，话语，言语。是此义的常规且基础用词，最为常用
