absolute|n. [C] 被认为在任何条件下都属实或有效的一个想法或原理，可称为绝对真理
distinct|adj. ~ (from sth) 截然不同的；有区别的；不同种类的
distinction|n. 1 [C] distinction (between A and B)（尤指相似或相关的两个人或事物之间的）清晰（或明确、鲜明）的差别或对比
diverge|vi. [正式] ~ (from sth)（意见、观点等）分歧、相异
divergence|n. [C, U]（两个或多个事物、意见、态度等之间的）差异、分歧
divide|n. [usually sing.] divide (between A and B) 使两群人之间相互分离的差异，且常指重大差异
divide|n. [usually sing.] divide (between A and B) 分歧
divide|vt. 使两人或多人意见不一致，即使产生分歧，使意见不一，相当于split，不过比split略常用
division|n. [C, U] division (in/within sth) / division (between A and B)（尤指一个社会或组织的成员之间）在观点、生活方式等方面的差异、分歧或不和
do|auxiliary verb. 代替实义动词以避免重复
do|vt. 模仿某人的行为或其讲话、唱歌等的方式（尤指为使人们发笑）
double|n. [C] 与…酷似的一个人或事物
duplicate|adj. [只用于名词前] 与其它…完全一样的、作为其它事物的复制品的
duplicate|vt. 精确地复制
echo|vt. 某事物仿效另一事物的某个细节或特征
egalitarian|adj.（在权利和机会等方面）主张人人平等的、平等主义的
egalitarian|n. [C] 平等主义者
emulate|vt. [正式] 因为羡慕某人而努力争取做得和他（或她）一样好，即努力赶上、（在行为上）仿效
enumerate|vt. [正式] 列举、枚举
equal|adj. 1 equal (to sb/sth) 尺寸、数量、价值、实力、重要性、结果等方面相等的
equal|linking verb. 指在尺寸、数量、价值等方面与…相等，即等于
equal|n. [C] 品质上相同的人或事物，或在地位、权利等方面相同的人或事物
equality|n. [U]（在一个社会、组织或家庭中所体现的）全体成员之间在权利、地位、优势、责任等方面的平等
equate|vt. ~ sth (with sth) 同等看待（不同…的重要性）
equation|n. [U, sing.] 同等看待
equivalent|adj. ~ (to sth)（价值、数量、意义、重要性等）相等的、相同的
equivalent|n. [C] ~ (of/to sth) 相等、相同或对应的的东西、数量、词语、效果等
even|adj.（某事物的数量）相等的；或（对于每个人、地方、团队等）均等的
example|n. 1 [C] example (of sth) 对自己的说明起到阐释、解释或支持作用的一个对象、事实或情况，即例子、实例、例证。是一个基础用词，极为常用
excuse|n. [C] 某事物的一个拙劣的样本，糟糕的例子
exemplify|vt. [常用被动式] [正式] 举例说明
exemplify|vt. [常用被动式] [正式] 是…的典型（或典范、榜样）
experience|n. [sing.] the ... experience 可指某个群体中全体成员所共同参与的事件或共有的知识，这些事件或知识影响了其思考和行为的方式，即传统
extreme|n. [C] 在感情、情况、行为方式等方面与一者极为不同（或截然相反）的另一者
fellow|adj. 只用于名词前，用于描述在某方面（或在相同的情况中）与你相似或相同的某个（或某些）人
fellow|n. [usually pl.] 像你的一个人；与所提到的事物类似的一个事物，如同类
follow|vt. 按某种方式（或方向）发展；以某种方式发生
follow|vt. 接受…为指导、领导或榜样，或效仿…，即追随、效仿等（如信奉宗教或政治主张等）
follower|n. [C] 模仿别人做事的一个人，即仿效者、追随者
for|prep. 作为…的代表
form|n. [U, C] [尤英] 习俗
form|n. [U, C] [尤英] 做某事的通常方式，即惯常做法、惯例等
framework|n. [C] framework (of/for sth)（作为判断、决定等基础的）一系列信念、观点或准则
from|prep. 用于区别二者，即与…不同
from|prep. 表示做出判断所基于的理由，即根据…，从…来看
gap|n. [C] ~ (in/between sth) 两组人员、观点、情况等之间的分歧、差距
gauge|n. [usually sing.] ~ (of sth) 用于估计或判断的事实，如依据、尺度、标准
gospel|n. [U] [非正式]（也可用gospel truth）绝对真理
ground|vt.（争论、信仰、观点等）以…为根据
gulf|n. [C, usually sing.] ~ (between A and B) 两个人或群体之间在思维方式、生活方式等方面的巨大差异，如分歧、鸿沟
guy|n. [C] 盖伊模拟像（英国每年11月5日庆祝篝火之夜焚烧的身着古装的人体模型）
habit|n. 1 [C] 你总是经常不经思考就去做的一件事（尤指很难停下来而不去做的一件事），即习惯
hassle|n. [C, U] [非正式] 分歧；争论；烦恼
homogeneous|adj. [正式] 有相同（或同类型）的事物或人组成的。即成分相同的
ideal|n. [C, usually sing.] ~ (of sth) 完美的人或事物，即理想典范、完美典型
identical|adj. 1 ~ (to/with sb/sth) 在每一个细节上都相同的，即完全相同的
identification|n. [U, C] identification (with sb/sth) 对…的一种强烈感情，例如同情、理解或支持
identify|vi. ~ with 理解、体会、认同（某人的感情或想法）
identity|n. 1 [C, U]（使某人区别于他人的）特征、性格、感情、信仰
illustration|n. [C, U]（说明事实的）故事，实例，示例
imbalance|n. [C, U] ~ (between A and B) / ~ (in/of sth) 不平衡；不均衡；失衡；不公平
imitate|vt. 模仿、仿效
imitation|n. 1 [C] 仿制品，尤指昂贵的仿制品
impression|n. [C] impression (of sb)（对某人的行为或话语的）滑稽模仿
incarnation|n. 1 [C]（在世间的）化身
incompatible|adj. ~ (with sth) 由于存在一些根本性的差异而彼此相冲突的、矛盾的、不能和谐相处的
incompatible|adj.（两个人）合不来的（即彼此非常不同，以致于不能愉快地在一起生活或工作）
incongruous|adj. 搭配到一起时让人感觉很奇怪的，如格格不入的、不协调的、不相称的、不合适的
inconsistency|n. 1 [U, C]（说法）前后矛盾、不一致
inconsistent|adj. 1 [名词前不可用] ~ (with sth)（说法等）不一致、相矛盾
index|n. [C]（用以衡量…的一个）指标或量度
inequality|n. [U, C] 各社会群体之间在财富、地位、机会等方面的不平等、不均衡
inevitable|adj. [只用于名词前]（常幽默）总会发生的（以致于让人每次都期待的），如照例必有的、惯常的
instance|n. [C] 例子、事例
instance|vt. [正式] 举…为例
institution|n. [C] 在某一群人中由来已久的风俗或制度（该风俗或制度常被作为该社会群体的典型特征）
irreconcilable|adj. 1（差异、分歧）不能调和的；无法化解的
jar|vi. jar (with sth)（以一种奇怪或令人不快的方式）与某事物不同，即起冲突，不协调，不和谐等，相当于clash
kindred|adj. [正式] [只用于名词前] 类似的、相关的
knack|n. [sing.] [英] 做某事的习惯
law|n. [C] 机构（或活动）的规则
lead|n. [sing.] 实例；范例；人们行动的榜样
level|adj. level (with sth) 与…有相同的高度、位置、地位、价值等的。所形容的对象常可用高低标准来衡量
level|vt.＆vi. 使相等；使平等；使相似
like|adj. [正式] 只作前置定语，指与另一人或事物有相似品质的，即类似的，相似的
like|adv. 用于非正式口语来代替as，表示某事以同样的方式发生，即和…一样，如，像
like|conj. [非正式] 像…一样，如同
like|n. 1 [sing.] 与另一者类似的一个人或事物
like|prep. 1 与…相似，类似，像
like|prep. 1 例如，譬如
likeness|n. [C, U] 相像；相似
likewise|adv. 1 [正式] 同样的、以类似的方式
manner|n. [pl.] [正式] manners 一群人的习惯和习俗
mannerism|n. [C] 某人特有的言语（或行为）的习惯、方式（其自己通常意识不到）
masterpiece|n. [C] 某事的一个极佳典范
match|n. [C] 外观非常相似的东西
match|vt.＆vi. 相同，相似
mimic|n. [C] 对声音、动作等进行模仿的一个人或动物
mimic|vt. 模仿某人的言行举止，尤指做滑稽模仿
misunderstanding|n. [C] 轻微的分歧
mock|adj. 模仿的、模拟的
model|n. 1 [C] 对于一个体系的简单描述（用于解释事物的运行原理或推测将要发生什么等）
model|n. 1 [C] 某个物体的仿制板，通常比原物体要小，可称为模型
monument|n. [C] monument to sth 被视为典范的（某人的）品质或事迹
mould|n. [C, usually sing.]（性格、态度、行为或生活方式的）模式，类型
near|adj. 通常用nearest，近似，最相似
near|prep. 与…在品质、质量、尺寸等方面接近，相仿
norm|n. [C] 标准；定额；定量
nuance|n. [C, U]（意义、声音、颜色、感情、感受、外貌等方面的）细微差别
obligatory|adj. [常为幽默用法] 习惯性的
on|prep. 表明某事的根据或原因
one|number, det. 同一个
opposed|adj. [名词前不常用] ~ (to sth)（观点、意见、价值观等）截然不同的
opposite|adj. 常用于名词前，与某事物截然不同的
opposite|n. [C] 与…截然相反或对立的人或事物
opposition|n. [U, C] [正式] 对立；相互对立的事物
orthodox|adj. 1（尤指信仰或行为）得到普遍接受或认可的、符合普遍接受的信念的，即正统的、规范的
otherwise|adv. 以一种不同的方式；不同地。即另，亦
overlap|n. 1 [C, U] ~ (between sth and sth)（兴趣、知识、责任等的）范围方面的重叠部分
overlap|vt.&vi.（两个物体）部分重叠，交叠
paradigm|n. [C] [术语] 典范、范例、典型样式
paradox|n. 1 [C] 矛盾的人、事物或情况（因此看起来比较奇怪）
paradoxical|adj. 自相矛盾的；似矛盾而（可能）正确的
parallel|adj. 极相似的
parallel|adv. 极相似地
parallel|n. 1 [C, U]（尤指在不同地点或不同时间与另一者）极为相似的一个人、情况或事件，即极相似的对应者，相当于equivalent
parallel|vt. 与…相似
parody|n. 1 [C, U] ~ (of sth) 滑稽模仿的作品（是对文章、音乐作品、戏剧或表演等的滑稽仿作）
parody|vt.（尤指为逗别人笑而）滑稽、夸张地模仿
pattern|n. 1 [C]（沿着…的周围切割出来的、用于制作某东西的）模型、底样、纸样等
pattern|n. [C] 某事发生或被执行的通常方式，即模式
pattern|n. [usually sing.] 可供效仿的一个杰出典范
peculiarity|n. [C] 怪异的习惯
phase|n. [sing.] [英] in ~/out of ~ (with sth) 协调；不协调
pillar|n. [C] ~ of sth 富有某种素质的人；某种素质的化身
polarize|vt.&vi.（使）一群人在观点上分化为两级
polarize|vt.&vi.（使）形势的发展分化为两级
policy|n. [C, U] 一个人在内心所遵从的原则或为人之道，是一种正式用法
practice|n. [C] 习俗
practice|n. [C] 经常所做的事、习惯
practice|n. [U, C] 在某一组织或某一情况中的通常做法，惯例
practise|vt.（作为平常习惯的一部分而）经常做某事，可称为实行或推行
precedent|n. 1 [C, U] 可供后来者援用参考的具体例子
precedent|n. [U] 做某事所遵循的传统、常规
principle|n. [C] 某事情、事物所基于的一条法则、规则或理论
prize|adj.（同类中）可作为一个极好的典范的
prototype|n. [C] ~ (for/of sth) 某事物（常指机器、装置）的原型、雏形、最初形态
prototype|n. [C]（人或事物的）模范、典型
proxy|n. 1 [U] 自己授予某人的代理权、代表权（以便让此人代表自己行事）
proxy|n. [C] ~ for sth [术语]（测算用的）代替物，指标
quote|vt. 举例说明
recital|n. [C]（口述）逐一列举
recite|vt. recite sth (to sb) 以口头的形式大声逐一列举，逐一讲述
relative|n. [C] 与其他事物属于同类的一个事物
remote|adj. remote (from sth) 与…有很大差异的，极不相同的，相差极大的。与distant未见明显差别
replica|n. 1 [C] 复制品、仿制品
replicate|vt. [正式] 精确地复制
represent|vt. 1 常用被动式，作为某个群体的一名成员而在一场活动、会议等场合行事或讲话，即代表
representation|n. [U]（对某人的）代表（即代表其发言、表决等）
representative|adj. 1 representative (of sb/sth)（在某个群体中或在人们中）典型的、有代表性的
representative|n. representative (of sb/sth) 1 [C] 被选出来为其他人讲话或表决的一个人，也可指作为一个群体之代表的一个人
reproduce|vt. 模仿
reproduction|n. 1 [U]（对文件、书籍、图片等的）复制、再版
resemblance|n. [C, U] ~ (to sb/sth) / ~ (between A and B) 相似、相像；相似之处
resemble|vt. 无被动式，看起来像另一个人或事物（或与其相似）
rift|n. [C] 分歧、严重不和、（关系的）裂痕
ritual|adj.（言行）习惯的、老套的，尤指不真诚地例行公事的
ritual|n. [C, U] 习惯、老规矩
round|n. [C] 惯常的一系列活动
routine|adj. 常作前置定语，作为某一工作、情况或过程的一个常规部分的，即常规的，例行公事的，日常的
routine|n. [C, U]（经常做某事所采用的）正常顺序或方式，即常规
rule|n. [C] 基于某种体系（如一门科学或一门语言）而对可能情况做出的说明，即规则
rule|n. [C] 常用单数，表示一个习惯，或惯常的做法
same|adj. 1 同一的（非其他的）；同样的（非不同的）
same|adv. 常用the same，以相同的方式，即同样
same|pron. 1 the same (as ...) 和…同样（或相同）的事物
sample|n. 1 [C] 抽查的样本
sample|vt. [术语] 抽样、取样、采样（以进行调查研究）
separate|adj. 常用于名词前，不同的。强调没有关联性
separate|vt. separate sb/sth (from sb/sth) 使…产生分歧，相当于divide。不如divide常用
settled|adj. 舒适的，（因长期在某地生活或工作而对自己的住所、工作、生活方式等）满意的、习惯的、适应的
shade|n. [C]（抽象事物的）略有差异的形式
shading|n. [pl.] shadings可指同一事物不同层面之间的细微差别
similar|adj. similar (to sb/sth) / similar (in sth) 与某人或某事物相似（但不是同一个）的，如相像的，类似的
similarity|n. 1 [U, sing.] ~ (between A and B) / ~ (to sb/sth) / ~ (in sth)（人或事物之间的）相似性（但并不完全相同）
simulate|vt. 模仿一种行为或感情
simulation|n. [C, U]（对一系列条件的）模拟、仿真（以进行实验或研究）；仿真品
sister|n. [C] 通常用作形容词，与其他事物属于同一类型或同一群体的，即如同姐妹的
so|adv. 1 用于指刚说过的事物，如这样，如此
so|conj. 1 [非正式] 用于疑问句，代指刚刚谈论过的事
soul|n. [sing.] the soul of sth（一种良好品质的）完美典范或化身
specimen|n. 1 [C] 事物的样本、样品、标本
specimen|n. [C] 具有…特性的人，某类人的典型
split|n. [C] split (between A and B) / split (with sb/sth) 使一群人分裂（或使一个人与其他人分离）的分歧
split|vt.＆vi.（使）产生分歧
standard|adj. 1 普通的、正常的、标准的（而非拥有特殊或不寻常的特征的）
standard|n. 1 [C, U] standard (of sth)（尤指人们认为可接受的）一个水平、标准或品质。是一个常规用词，含义广泛，也极常用
study|n. [sing.] [正式] study (in sth) 典型，范例
such|det., pron. 1 指上文已提到过的类型，即这样的，那样的
symmetry|n. 1 [U]（在一个关系或协议中双方给予或接受的数量）相等
syndrome|n. [C] 不良情况（如某类人、态度或社会问题）的典型观点、典型表现、典型行为
synonymous|adj. ~ (with sth)（两个事物）几乎等同的
tally|vi. ~ (with sth) 与（另一个人的说法、另一组数字等）相同、一致、吻合
textbook|adj. 只作前置定语，（用以强调…）可以用来做范例的，即标准的，典型的，规范的
thus|adv. [正式] 以此方式，像这样，如此
time-honored|adj. 因古老而受到尊重的
together|adv. 一致；协调
tradition|n. [C, U] 长期存在于一群人之中的一种信仰、习俗或做事方式；也可指一套这种信仰或习俗。可称为传统
traditional|adj. 1 作为一群人的长期未变的信仰、习俗或生活方式的一部分的，即传统的。是此义的常规用词，最常用
triumph|n. [sing.] a ~ (of sth) 成功的典范、楷模
typical|adj. 1 typical (of sb/sth) 拥有某个人（或事物、群体）的通常品质或特征的，即典型的、有代表性的，相当于representative
unbalanced|adj. [常用于名词前] 对某事物的一部分或一方面赋予过多（或过少）重要性的，如偏颇的、失衡的、不公平的
uncharacteristic|adj. ~ (of sb) 不是某人的典型特征的；与某人通常的行为方式不同的
uneasy|adj.（混合在一起的两种事物、感情等）不和谐的；不协调的；矛盾的
uniform|adj. 不变的，在各部分且在所有时间相同的，即一致的、统一的、一律的
unlike|adj. 不用于名词前，（两个人或事物）彼此不同的，相异的
unlike|prep. 1 与一个特定的人（或事物）不同
upon|prep. [正式，尤英]（具有文学性）基于…，与on同义，通常较正式
vary|vi. ~ (in sth)（一组类似的事物在大小、形状等方面）不同、有差别
vibration|n. [C, U] 感情的共鸣
worthy|adj. worthy of sb/sth 行为上具有某人（或事物）的典型特征的
yardstick|n. [C]（好坏或成败的）衡量标准、评判尺度
