aberrant|adj. [正式] 反常的、不被社会接受的
fact|n. [U] 真实的事物，而非被杜撰出来的事物
factitious|adj. [正式] 人为故意创造出来的且看起来像真的
fail|vi. 不做某事，未做某事
failure|n. [U, C] failure to do sth（行为意义上的）未做某事（尤指你被期望去做的事）
faithful|adj. ~ (to sth) 如实的、丝毫不变的、真实而精确的
fake|adj. [贬] 假冒的、伪造的
fake|n. 1 [C]（艺术品、硬币、珠宝首饰等的）赝品、仿制品
fake|vt. 制作一个看起来像真的一样的东西（尤指为欺骗某人），如伪造、冒充
fake|vt.&vi. 假装（有某种感情、疾病等）
fallacious|adj. [正式]（思想、论据、道理）错误的（因其基于谬误）
false|adj. 1 不真实的
false|adj. 1 错误的，不正确的
fantastic|adj. 也可用不太常用的fantastical，常用于名词前，奇怪且表现出很多想象力的，如怪诞的、荒诞不经的，相当于weird。不太常用
farce|n. 1 [U]（表演或写作的一种风格）荒诞、滑稽
fault|n. 1 [U] fault (that ...) / fault (for doing sth)（已发生或已做出的错事的）责任、过失、过错
feign|vt. [正式] 假装有某种感觉或态度、假装生病、假装疲倦等
fiction|n. 1 [C, U] 虚构或想象出来的（即非真实存在的）事物或事件
fictional|adj. 虚构的
fictitious|adj. 1（艺术作品中的人物、情节等元素）虚构的
fix|vt. 改正
flaw|n. [C] ~ (in sth) 错误
flawed|adj. 有错误的
forge|vt. 为欺骗别人而非法复制某事物，如伪造、仿冒
forgery|n. [C]（纸币、文件等的）伪造品、赝品
form|linking verb. 是…，成为…
fraud|n. [C] 并不像声称的那么好的事物，如次货、冒牌货
freak|n. 1 [C]（行为、外表、想法）怪异的人
freak|n. [C]（也可用freak of nature）（可能具有冒犯意味）畸形的一个人、动物、植物或事物
free|adj. 1 free from/of sth 不含有害物的，不受…伤害或影响的
front|n. [sing.] 隐藏感情或真实想法的行为，可叫做表面，外表，（装出的）样子
funny|adj. 难以解释的，难以理解的，奇怪的，相当于strange或peculiar。也算常用，算是一个非正式用法，口语中常用
gainsay|vt. [正式]（常用于否定句）否认
genuine|adj. 真的、名副其实的
get|vt. 有（做…的时间或机会）
gloss|n. [U, sing.] 有吸引力的外表（而内里并非如此），即虚假的外表
go|vt.＆vi. 用于谈论歌曲或诗歌中的曲调或字词；谈论故事中所发生的事情；以及说明理由
good|adj. 合情理的、有逻辑的，或（对正在被讨论的内容来说）有充分根据的、有说服力的。是一个简单用词
grotesque|adj. 怪诞的、荒唐的、荒谬的（这种荒诞通常让人不悦）
groundless|adj.（恐惧、指控、报道等）无理由的、无根据的
half|adv. not half 用于强调某人所拥有的负面品质，即一点儿也不
hardly|adv. 1 几乎不；几乎没有
have|vt. 1（也可用have got）有，拥有，持有，占有
healthy|adj. 正常的，合理的，（态度）明智的
heterodox|adj. [正式]（信仰、意见、想法等）异端的、非正统的
hold|vt. 1 拥有；持有。如与permit，degree或ticket等词连用，表示持有许可证、学位证、票据等；或与shares或stock等词连用表示持有股份、股票等
holder|n. [C]（常构成复合词）持有者；拥有者
hole|n. [C, usually pl.] 某事物（例如一个计划、法律或新闻报道）的一个错误、缺陷或漏洞
hysterical|adj. [非正式] 极其可笑的
illogical|adj. 不合逻辑的
imaginary|adj. 只存在于头脑（或想象）中的，如假想的、虚构的
implausible|adj. 似乎不合情理的；不像真实的
impression|n. [C]（可能是虚假的）外观，即假象
improbable|adj.（因与自己的期望不一致而）看似奇怪的
improper|adj. 错误的、不正确的
incorrect|adj. 1 不正确的、错误的、不真实的
infallible|adj. 1 永不犯错的，绝无过失的
invent|vt. 虚构或编造没有的事情（以欺骗别人）
invention|n. [C, U] 虚构，编造；还可指虚构或编造出来的事（但fiction此时比invention常用）
irrational|adj.（某人的感情或行为）不合逻辑的、没有道理的
joke|n. [sing.] [非正式] 荒唐、恼人、可笑、不能得到严肃对待的一个人、事物或情况
justifiable|adj.（一个行动、情况、感情、主意）因为有正当理由而可接受的，如无可非议的、情有可原的
justified|adj. 1 ~ (in doing sth)（做某事）有正当理由的
lapse|n. [C] 小错误，尤指遗忘或疏忽造成的小差错
last|adj. 用于强调…是最不可能、最不想要或最不合适的
laughable|adj. 荒唐可笑的、不值得当真的
legitimate|adj. 有正当和可接受的理由的，即正当的、合理的
logic|n. 1 [U]（某类人或某个活动领域特有的）思维方式；解释方法；逻辑
logical|adj. 1（行动、事件等）合乎情理的
loophole|n. [C] ~ (in sth)（法律、合同等的）漏洞，空子
ludicrous|adj. 不合理的；不能当真的
lunatic|adj. 荒唐可笑的
mangle|vt. [常用被动式] （因发音、书写错误或表达不清晰而）扭曲，改变（词语、信息的意思）；破坏某事物（例如通过蹩脚的朗诵或演奏来糟蹋一首诗或一首乐曲）
manufacture|vt. 编造故事、借口，捏造信息等
mean|vt. 对…当真（即严肃而非开玩笑、非夸张或非出于礼貌）
minus|prep. [非正式] 没有（曾经有过的东西），与plus相反
misconduct|n. [U] [正式]（公司等的）管理不善
mistake|n. 1 [C] 不正确（或产生一个你不想要的结果）的一个行动或观点，即（行为或观点上的）错误、失误。是日常生活中表示“错误”的一个常规用词
mistaken|adj. 1 [名词前不常用] ~ (about sb/sth)（判断）错误的、搞错的、弄错的
mistaken|adj. 1 mistaken (about sb/sth) 通常不用于名词前，（你的观点或判断）错误的。与wrong一般可互换
mock|adj. 不真诚的、假装的
modification|n. [U, C] ~ (of/to/in sth)（为使某事物更好、更可接受等而进行的）修改、改进（可以是一种行为、一个过程，也可以是一个结果）
modify|vt. 稍作修改（以使其更适合于某一目的）
nail|vt. [非正式] 证明某事不属实
natural|adj. 意料之中的，正常的
natural|adj. 未经人工改造，因而接近于真实状态的
natural|adj. 符合人的理性的，即合理的、自然的
negative|adj. 1 表示一个否定回答的
negative|n. [C] 否定的词语或陈述；拒绝或否定
negative|vt. [正式] 否定…的真实性
never|adv. 1 绝不
never|exclamation. [非正式] 因觉得某事不可能而对其表示惊讶，即不会吧
no|adv. 用于形容词和副词前，与not同义，即不
no|det. 1 没有一个，一个都没有
no|exclamation. 用于给出一个否定的答复或陈述
no|n. [C] 自己对于一个想法、陈述等所给出的否定回答；还可指作否定回答的人
none|adv. 1 与the加比较级连用，表示一点都不，绝无
nonsense|n. [U, C] 被认为荒谬或错误的想法、言论或信仰，如谬论、胡扯、胡言乱语
nonsensical|adj. 荒谬的；无意义的；瞎说的
norm|n. [sing.]（常用the norm）常态；正常行为
normal|adj. 典型的，通常或一般的，你通常会认为的
normal|n. [U] 通常（或一般）的状态、水平或标准
normality|n. [U]（也用normalcy，不过normalcy尤用于美式英语）正常状态，常态
not|adv. 1 构成动词be、do和have及情态动词can或must等的否定形式，常缩略为n’t，表示不，没有
nothing|n. [sing.] 没有什么东西，没有一件东西
null|adj. [术语] 零值的；等于零的
nurse|vt. [正式] 在内心中长时间怀有某种强烈的感情、愿望或想法
odd|adj. 1 奇怪的、怪异的、反常的
of|prep. 1 用于表示…是什么（或曰性质）
omit|vi. [正式] 不做或未能做
ostensible|adj. [只用于名词前] 看上去像真的、宣称像真的（但实际上并不真实）
out|adj. out (in sth)（计算、计量）不准确的
out|adv., prep. out of sth 没有（表示缺少一笔钱的意思时，为美式非正式用法）
overhaul|n. [C] 对体制或方法进行的全面修订
overhaul|vt. 对体制或方法进行全面修订
own|vt. 拥有，尤指拥有买来的东西。其主语常是人或组织团体
owner|n. [C] 某事物的所有人，即物主，拥有者
pantomime|n. [C, usually sing.] [英]（常伴有很多混乱的）滑稽可笑的局面、闹剧
parade|vt.&vi. ~ (sb/sth) as sth（使）冒充，伪装，打扮成好或重要的样子（虽然实际并非如此）
peculiar|adj. 奇怪的、怪异的（尤指同时令人不悦或担忧）
peculiarity|n. [U] 奇怪、怪异
plastic|adj. [贬] 做作的；不自然的；虚伪的；矫饰的。相当于false
plausible|adj.（借口或解释）有道理的、可能是真的
play|vt.＆vi. 1 play (at doing) sth 常用被动式，为了玩耍而假扮或假装…
possess|vt. 1 [正式] 有或拥有某事物
possession|n. [U] 正式用法，指拥有，具有
possible|adj.（在某种情况下）合理的或可接受的
preposterous|adj. [正式] 完全不合理的，尤指让人震惊或恼怒，即荒谬的
preposterous|adj. [正式] 离奇古怪而愚蠢（或令人震惊）的
pretend|adj. [非正式] 常用于名词前，常为儿童用语，非真实的，想象的
pretend|vt.＆vi. 1 pretend (to sb) (that ...) 假装或佯装（以使别人相信虚假的事情）。是一个常规用词
pretension|n. [C, usually pl. U] 装作比别人更重要、更聪明等
proper|adj. [英，非正式] 只用于名词前，你认为某事物是真实的并足够好的（好到够得上某个标准）
queer|adj. [旧时] 奇怪的、反常的
quirk|n. 1 [C] 某人性格（或行为）中略怪异的一面，如怪癖
rational|adj.（行为、思想等）基于理智（而非感情）的
read|vt. read A for B / read B as A 纠正文本的时候，将一个字等替换成另一个字等
real|adj. 1 真实存在（或发生）的（而非想象或装出来的）
really|adv. 1 用于表明某事的事实或真相，如事实上，真正地
reasonable|adj. 1 reasonable (to do sth) 公平的，实际且明智的，合理的。是一个常规用词
redress|vt. [正式] 纠正（不公平或错误的事）
refer|vi. refer to sb/sth 指的是…
refute|vt. [正式] 对某事的真实性和公平性进行否认
represent|linking verb. 是某事物、等于、相当于，与constitute近义
revise|vt. 改变、修改（意见或计划）
revision|n. [U, C]（为使作品或事物更完美所进行的）修改，修正，修订等
ridiculous|adj. 非常愚蠢或不合理的，荒缪的，荒唐的，相当于absurd或ludicrous。但在口语中ridiculous远比absurd常用
right|adj. 1 在道德、法律或个人义务上正当的，妥当的，常作表语。与wrong相反
right|adj. 指情况正常或足够良好的，只作表语。与wrong相反
right|adv. 事情进展顺利地、正常地、令人满意地。与wrong相反
right|adv. 正确地。与wrong相反
right|exclamation.（英，非正式用法）1 接受、同意一个陈述或遵从一项指令（或命令）
right|vt. 1 使…回到正常或垂直、竖直的位置，把…扶正
romance|vi. 虚构（故事）
sane|adj.（制度等）合理的
score|n. [sing.] [非正式] 真实情况，实情，真相
self-conscious|adj. [常贬] 刻意的
sensible|adj.（行为或决定）基于理性和经验（而非感情）做出的，即明智的、合理的
shadow|n. [C] 非真实或不可能得到的事物，即虚幻的事物
silly|adj.（尤指像小孩一样）愚蠢的，荒唐可笑的，冒傻气的，相当于ridiculous。可看作是一个非正式用法
simulation|n. [U] 假装、冒充
slip|n. [C] 小的或不重要的错误，通常由马虎或不注意所致，即差错、疏漏、纰漏
sound|adj. 合理的。也较常用
spectacle|n. [sing.] 奇特的现象，意外的情况
spontaneous|adj. 1 [术语] 自然发生的、自身造成的（非外界原因造成的）
strained|adj. 不自然的；刻意做作的。相当于forced
strange|adj. strange (that/how ...) 不寻常（或令人惊讶）的同时尤其令人费解，即奇怪的。是一个常规用词
there|exclamation. 当自己说中…时（即自己对…的说法是正确的），用于表示自己的满意；或用于表示…使自己烦恼
tinge|vt. [常用被动式] ~ sth (with sth) 使略带…感情（或品质）
true|adj. 1 与事实有关（而非与编造或猜测出来的东西有关）的
true|adv. [旧时或文学] speak true 可表示告知真相，实话实说
truly|adv. 1 用于强调一个特定的品质
truth|n. 1 [sing.] 事情的真相（而非想象或猜测出来的情况）
understandable|adj.（行为、感情、反应等）看起来在某种情况中正常合理的，即可以理解的
unfounded|adj.（谣言、信念、感情等）无事实根据的；没有理由的
unknown|adj. 从未发生的；从不存在的
unnatural|adj. 1（行为）反常的
unorthodox|adj.（某人的行为、信仰、习俗、做事方式）非正统的、非传统的、不寻常的
unprovoked|adj.（尤指攻击）无端发生的，非因被攻击者的言行而起的
unreal|adj. 1 太奇异的、梦幻般的、虚幻的
unreasonable|adj. 1（某人的行为）不合理的；不公平的；期望过高的
unusual|adj. 与正常状况不同的
unwarranted|adj. [正式] 无正当理由的；不必要的
valid|adj.（争论、评论、想法等）基于合理原因的（如基于逻辑或事实的）
validity|n. [U] 符合逻辑性、正确性
veneer|n. [sing.] [正式] ~ (of sth) 对某人或某事物的本质起掩饰作用的外表，如伪装、虚饰
veto|vt.（当权者）行使否决权
void|adj. [正式] ~ of sth 没有
weird|adj. 非常奇怪（或极不寻常）且难以解释的
well|adv. can/could/may/might well 有好的理由、合理地
whatever|adv. no, nothing, none, etc. whatever（也可用whatsoever）表示一点儿也不，丝毫不
whatever|adv. no, nothing, none, etc. whatever（也可用whatsoever）表示什么都没有
wild|adj. 不合理的
with|prep. 有，带有，具有
without|prep. 1 没有（或没经历、没表现出）某东西
wrong|adj. 1 不正确的，错误的，反义词为right
wrong|adv. 用于动词之后，产生错误结果地，或产生不想要的结果地，反义词为right
yes|exclamation. 用于反驳某人所说过的否定的话
yes|exclamation. 用于回答一个问题，以表示其正确或属实，即是的
zero|number. 毫无
zip|n. [sing.] [尤美，非正式] 没有，毫无
