aerial|adj. 1 从飞机上的
foggy|adj. 因有雾而不清晰的，即雾茫茫的
footprint|n. [C] 对环境的影响
forest|n. [C, U] 大片被浓密树木所覆盖的区域，即森林，林区
forestry|n. [U] 林业
forlorn|adj.（地方）凄凉的、荒芜的、无人居住的
foul|adj.（天气）恶劣的、风雨交加的
front|n. [C] 气象领域中，可指冷暖气团相互接触的部位，即锋
gather|vi.（云层或黑暗）数量逐渐增加
gathering|adj.（夜色）渐浓的、逐渐变黑的
grove|n. [C] [文学] 小树林、小树丛
gust|n. [C]（正吹着的风中的）一阵强风
habitat|n. [C, U] 动植物所生长的一个地方，如生活环境、栖息地
hail|vi. 下冰雹
harsh|adj.（天气）恶劣的
haven|n. [C]（对动物来说）一个安全的地方
haze|n. 1 [C, U] 含有水（或尘埃）颗粒的薄雾，常在热天形成，可阻碍人的视线
hazy|adj. 薄雾蒙蒙的
heaven|n. [pl.] 文学用法中可指天空
high|n. [C] 气象学中可指高气压区；反气旋
hole|n. [C] 一个小动物的住处
home|n. [sing., U] 一种植物通常所生长于或动物通常所居住于的地方
hurricane|n. [C]（尤指西大西洋的）飓风
inclement|adj. [正式]（天气）恶劣的、冷的、潮湿的、狂风暴雨的等
ivy|n. [U, C] 常春藤
jungle|n. [U, C] 热带丛林（树木较浓密，各种植物相互纠缠）
kingdom|n. 1 [C] 自然界的三界之一（是一种对自然界的传统划分方法）
lair|n. [usually sing.] 动物睡觉或隐藏的一个地方
lifeless|adj. 1（物体或机器）无生命的
lift|vi. 指云或雾消散，相当于disperse
lightning|n. [U] 闪电
lonely|adj. 只用于名词前，（地方）人迹罕至的，偏僻的。相当于isolated，强调一种与群体的隔离感（wild与lonely有很大交集。但二者并非完全同义，且lonely更强调对人心理上造成的冲击）
low|n. [C] 气象学中可指大气中的低气压区
lower|vi. [文学]（天空或云）变昏暗；变恶劣；变阴沉
miserable|adj.（天气）阴郁的，令人苦恼的
mist|n. [U, C] 地面上的薄雾、水汽
monsoon|n. [C] 南亚季风（盛行于南亚地区，夏季刮西南风，带来雨水，冬季刮东北风）
monsoon|n. [pl.] 南亚雨季的降雨（或季风雨）
moon|n. [sing.] 常写作the moon，也可写作the Moon，指月光
moonlight|n. [U] 月光
native|adj. native (to ...)（动物和植物）天然存在于某地的，即原产于某地的
natural|adj. 存在于自然界中的，由自然界而非人类所创造或引起的，即自然的，天然的
nature|n. 1 [U] 世界上一切非人造的动植物或其他事物，即自然界、大自然
nest|n. 1 [C] 鸟、禽类的窝
niche|n. [C] [生物学] 生态位（一个生物所占生境的最小单位）
overcast|adj. 阴天的、多云的
oxygen|n. [U] 氧气
ozone|n. [U] [英，非正式] 海边的清新空气
parched|adj. 非常干的，尤指地面或植物因天气炎热而焦干的、晒焦的
perch|n. [C] 鸟的栖息处（尤指树枝或鸟笼里的杆）
planet|n. [sing.] the planet可指地球（尤其当谈论环境时所用）
pour|vi. 雨倾盆而下；下大雨
preserve|n. [C] [美] 动植物等的保护区，自然保护区，相当于reserve
prevailing|adj. [只用于名词前]（风等）在一个地区经常刮的
rain|n. 1 [U, sing.] 雨，雨水
rainbow|n. [C] 彩虹
rainfall|n. [U, sing.] 降雨量
rainy|adj. 多雨的
recyclable|adj. 可被回收利用的
recycle|vt. 对事物的回收利用、再利用
recycling|n. [U] 回收利用；循环利用；再利用
reserve|n. [C] 北美也用preserve，因动植物等而受保护的一片区域，即自然保护区
rise|vi.（风）开始刮得更猛烈
rough|adj.（天气）恶劣的；有暴风雨的。此时不如wild常用
sanctuary|n. [C] 野生鸟兽的保护区、禁猎区。相当于reserve
scrub|n. 1 [U]（尤指少雨地区的）灌木丛、矮树丛
setting|n. [C] 自然环境
shower|n. [C] 阵雨或阵雪
shrub|n. [C] 灌木。相当于bush
sky|n. [C, U] 天空。是此义的常规用词，最常用
snow|n. 1 [U] 雪
snowfall|n. 1 [C, U] 下雪；降雪量
snowflake|n. [C] 雪花、雪片
snowy|adj. 1 常作前置定语，指被雪覆盖的
social|adj. [术语] 只用于名词前，（动物）群居的
soft|adj.（风雨）不强烈的，即和缓的，相当于light
spit|vi. [非正式] 仅用于进行时，表示下小雨或下毛毛细雨
sprinkle|vi. [尤美] 下小雨
still|adj. 无风的
storm|n. 1 [C] 暴风雨（且常伴有雷电）
sun|n. [sing,. U] 太阳的光和热，即阳光。通常用the sun，为“阳光”的简单用词。词义上与sunlight和sunshine未见明显区别
sunlight|n. [U] 阳光，日光。是此义的基本用词，表示来自太阳的光线
sunny|adj. 1（专指白天）天气晴朗的
sunshine|n. [U] 阳光，日光。专指未被云层遮挡的、直接照射下来的“阳光”或“日光”，且尤指照射区域面积较大的“阳光”（偶尔也可指一缕阳光）。实际使用中，sunshine与sunlight和sun在绝大部分情况下可互换使用
sweep|vt.＆vi.（天气、火等）朝某个方向突然且强力地移过一片区域，如掠过、横扫、席卷等
territory|n. [C, U]（群体、动物等所占据的）管区、地盘
threatening|adj.（天空、云等）将要变糟的，如阴沉沉的、乌云密布的
thunder|n. [U] 雷，雷声
thunderstorm|n. [C] 电闪雷鸣且常伴随瓢泼大雨的风暴，即暴风雨
tornado|n. [C]（下面细上面粗的柱状）龙卷风
trough|n. [C] [术语] 气象学中的低压槽；槽形低压
tunnel|n. [C] 动物挖的地下通道
typhoon|n. [C] 台风（是一种强烈的热带风暴）
underbrush|n. [U] [美]（森林里林木下的）灌木和植物丛。相当于undergrowth
undergrowth|n. [U]（林木下的）灌木和植物丛
uninhabited|adj.（地方）无人栖居的、荒无人烟的
ventilate|vt. 使（房间、建筑物等）通风、通气
ventilation|n. [U]（房间、建筑物等的）通风
weather|n. 1 [U] 天气
web|n. [C] 蜘蛛网
wet|adj. 天气或气候等有雨的，下雨的
whirlwind|n. [C]（陆地或海洋上的）旋风
wild|adj.（天气或海洋）受到暴风雨或狂风影响的，相当于stormy，较为常用
wild|adj.（风景或土地）天然的，未受人类影响的（有时可叫做荒凉的或荒芜的，但并不专门表示荒凉或荒芜）
wild|n. [sing.] the wild可指非人类所控制的自然环境，即野外环境
wind|n. [C, U] 风、气流。是此义的常规用词，最为常用
windy|adj. 1 指天气多风的，大风的
wood|n. [C] 一片树木，即树林、林地，比森林（forest）要小，一般用the woods表示林地
wooded|adj.（土地）长满树木的；为树木所覆盖的
woodland|n. [U, C]（也可用复数的woodlands）树林、林地、林区
zephyr|n. [C] [旧时或文学] 和风、微风
