after|prep. 与…对照或对比
for|prep. 用于dollar for dollar或mile for mile等结构中，表示对应（用于比较不同事物间的价值或品质）
fray|n. [sing.] the fray 尤指激烈的或被视为对某人的能力进行考验的一场竞争
friendly|adj. 在比赛或竞争中、人们或团队之间并不陷入激烈对抗的，即非对抗性的、为增进友谊的
fulfil|vt. 符合（被要求做的事或必要的事）
gear|vt. gear sth to/towards sth [常用被动式] 使与…相适应；使适合于
go|vi. will/would not go (in/into sth) 用于说明某事物不适合放进某个地方或空间
good|adj. good (for sth/to do sth) / good (for sb) 合适的、适宜的、恰当的。是一个简单用词
great|adj. [非正式] great for (doing) sth 对某事物来说非常合适或有用的
happy|adj. [正式]（言语、思想或行为）对某一情况来说合适的，适当的
ideal|adj. ~ (for sth) 完美的、最合适的，如理想的
improper|adj. [正式]（对某个情况来说）不合适的
inappropriate|adj. 1 ~ (for sb/sth) (to do sth) / ~ (to/for sth)（对某种情况或目的来说）不合适的、不恰当的
incompatibility|n. [U, C] 不兼容性
incompatible|adj. 1 ~ (with sth) 由于存在一些根本性的差异而彼此相冲突的、矛盾的、不能和谐相处的
indecent|adj. [常为幽默用法]（做某事的时间总量、速度）不合适的（常指更快）
jockey|vi. ~ (for sth) 运用所有可能的方法来获得对别人的优势
jostle|vi. ~ for sth 争抢、争夺（关注、位置、奖赏等）
just|adj. 常作前置定语，（在某种情况中）合适的，恰当的
just|adv. just as good, nice, easily, etc. 和…同样好、容易等，即不比…差、难等
kosher|adj. 人们通常认为正确的、合适的
likely|adj. 似乎适合于一个目的的，相当于promising
make|vt.（对…来说）合适，即适合。也是一个简单用词
match|n. [sing.] 相配的人或事物
match|vt. 1 与…一样好，即相匹敌，和…不相上下
match|vt.＆vi. 相配，匹配
meet|vt.＆vi.（在比赛中与对手）遭遇；交锋
metaphor|n. [C, U] 比喻、隐喻、暗喻
misplaced|adj.（在某种情况中）不适宜的
odd|adj. [常用于名词前]（无比较级和最高级）不成对的、不成套的、不匹配的
on|prep. 与…相比
oppose|vt. 与某人竞争，对垒或角逐
or|conj. 用于引出一个对比性的概念
pale|vi. pale in/by comparison结构可表示显得逊色，相形见绌
parallel|vt. 与…一样好，即媲美，比得上，相当于equal
perfect|adj. perfect for sb/sth 对于…来说正合适的，理想的，相当于ideal
pertain|vi. [正式] 在某种情况下（或在某个时间）适用
possible|n. [C] 适合于某一工作（或目的）因而可以被选择的人或事物，即合适的人（或事物）
preliminary|n. [C] 竞赛的预赛、初赛、初试
proper|adj. [尤英] 只用于名词前，正确的、恰当的、符合规则的
properly|adv. [尤英] 以一种正确或适当的方式，即正确地、适当地
proportion|n. [U, C, usually pl.]（在程度、重要性等方面）正确的比例
pursue|vt. [正式] 追求一个兴趣
race|n. [sing.] race (for sth/to do sth) 一些人、小组或组织所进行的竞争、角逐，尤指为获得政治权力或看谁能最先实现某事而进行的角逐
race|vt.＆vi. race (against) sb/sth 和…进行竞争；参与竞争
rate|vt. 足够好（或重要等）而配得上某种方式的对待
relative|adj. 1 [正式] 与其他事物相比较着来被考虑和判断，相比较而言的
right|adj. 1 在道德、法律或个人义务上正当的，妥当的，常作表语。与wrong相反
rival|vt. ~ sb/sth (for/in sth) 与…一样好或坏，即匹敌、比得上
rivalry|n. [C, U] ~ (with sb/sth) (for sth) / ~ (between A and B) (for sth) 在同一领域（或为争得同一事物）的两个人（或两家公司、两个组织机构）之间的竞争、较量
rubber|n. [C]（某些纸牌游戏或体育运动中相同的对手或队伍间）多轮决胜负的比赛
scramble|n. [sing.] ~ (for sth)（人们为得到…或做某事而进行的）争抢
scramble|vi. ~ (for sth) 为得到某东西而与别人争抢
showdown|n. [usually sing.]（对长久存在的分歧）决出胜负的较量、争论
sit|vi. 看似合适或不合适
snag|vt. 抢先抓住，抢先获得
so|adv. not so ... (as ...) 用于比较，与…程度不同，即不如…（这么…）；不像…（那样…）
square|adj. square with sth（和某事物）相一致的，相吻合的
square|vt.＆vi.（两个不同的想法或行动）相适配；使（两个不同的想法或行动）相适配
stake|n. [pl.] the…stakes 比赛、竞争
struggle|vi. struggle (with sb) (for sth)（尤指为得到某东西而）与某人竞争或争辩
suit|vt. 1 对某人方便或有用，可称为合适
suitability|n. [U] 合适
suitable|adj. suitable (for sth/sb) / suitable (to do sth)（对于某一目的、宗旨或场合来说）恰当的、合适的。是一个常规用词
suited|adj. 1 ~ (to/for sb/sth) [名词前不可用] 合适的、适当的
than|prep., conj. 1 用于引出比较的第二部分，即比
to|prep. 用于引出比较或比率的第二部分，即比
to|prep. 用于表示某人对…的态度或反应
touch|vt. 通常用于否定句，指与某人（在技能、品质等方面）一样好
tussle|n. [C] ~ (for/over sth) 短暂的争夺（尤指为了争得某事物）
tussle|vi.（尤指为了争得某事物而）与…竞争
unfit|adj. 1 unfit (for sth) / unfit (to eat, drink, live in, etc.) / unfit (to do sth) 不符合一个为人所认可的标准的，即不合格的；还可指不合适的、不适宜的
unhappy|adj. [正式] 不适当的
unlikely|adj. [只用于名词前]（一个人、事物或地方）与想象（或期望）不一样的
unsuitable|adj. ~ (for sb/sth)（对于某个人、目的、场合或情况来说）不合适的
worthy|adj. -worthy 构成复合词，指适合于…的
wrong|adj. 常作前置定语，wrong (sth) (for sth) /wrong (sth to do) 不合适的，不适当的，不是自己所需要的
