abate|vt.&vi. [正式]（使）减少
engage|vt.&vi. engage in sth / engage sb in sth（使）参与（某项活动）
engage|vt.&vi. ~ (with sth)（使）机器零件相衔接或相啮合
engagement|n. [U] [正式] ~ (with sb/sth)（与…的）密切关系，如参与
enter|vt. 无被动式，成为一个机构的一名成员（即加入机构）
entire|adj. 只用于名词前，用以强调某事物的全部均包括在内，包括一切事物、每个人或每个部分的，全部的，完全的，整个的，相当于whole，此时二者未见明显差别
entrance|n. 1 [C] entrance (into sth) 卷入或参与一个活动或体系
entrant|n. [C] ~ (to sth) 参赛者（可以是一个人，也可以是一只动物）；考生
entry|n. 1 [U] entry (into sth)（参与或加入某个群体的）权利或机会
entry|n. [C] 参赛者
escalate|vt.&vi. ~ (sth) (into sth)（使）恶性上涨
escalation|n. [C, U] 逐步的恶性上涨
especially|adv. 针对特定的一个目的、人等，如专门，特地
estranged|adj. [正式] [常用于名词前]（夫妻）分居的
evacuate|vt.（把人从危险的地方）疏散，转移，撤离
evacuation|n. [U, C] 撤出；疏散
every|det. 1 与单数名词连用，指一群事物或人中的所有成员，如每一个、每个
everyone|pron.（也可用everybody）每个人；所有人
evict|vt. ~ sb (from sth)（尤指依法）将某人从房屋或土地上驱逐，赶出，逐出（通常因为被驱逐方违法或毁约）
eviction|n. [U, C]（尤指依法对某人进行的）驱逐、驱离（使其离开一栋建筑物或一片土地）
except|conj. except (that ...) 用于提及的一个事物之前，该事物使得一个陈述的完全正确性得以打破，如除了、只是
except|prep. 也可用except for，用于将一个事物或人排除在陈述之外，即除…之外
except|vt. [正式] except sb/sth (from sth) 常用被动式，不把（某人或某事物）包括在内
exception|n. 1 [C] 一般情况以外的人（或事物），即例外
exceptional|adj. 非常不寻常的，即异常的、特别的、特殊的、例外的
exhaustive|adj. 详尽的；全面的
exile|vt. [常用被动式] ~ sb (from…) 迫使某人从某个地方或情况中离开
expel|vt. ~ sb/sth (from sth) 迫使某人离开一个国家或领地，即驱逐出境
explode|vi. 指数字（或数量）突然快速增加，即激增，暴涨
explosion|n. [C]（数量或数字的）突然大幅且快速的增长，如激增、猛增
explosive|adj. 突然猛增的
expulsion|n. [U, C] ~ (from…) 对某人的驱逐
extend|vi. 包括某人或某事物
extra|adj. 格外的，相当于additional
extra|adj. 比通常的（或所认为的、所期待的、已存在的）要多的，如额外的、外加的、附加的，相当于additional
extra|adv. 与一个形容词或副词连用，超出通常的范围或程度等，即格外，分外，特别
extra|adv. 额外，另外，外加（即比通常的、比所认为或所期待的、比已存在的要多）
extraordinary|adj. 1 [正式] 只用于名词前，（一场会议等）为特别目的而安排的，且发生于常规日程之外的，如特别的、临时的
fabric|n. 1 [sing.] the ~ (of sth) [正式]（社会、组织机构、体系等的）基本结构
factor|n. [C]（造成或影响某事的）因素
fall|n. [C] fall (in sth)（尺寸、数字、比率、水平等的）减少或降低
fall|vt.＆vi.（数量、数字、强度等）减少，下降
farewell|n. [C, U] 向某人告别、辞行
federation|n. [U] 结成联合会
fence|vt.（用栅栏、篱笆或围栏）围住或隔开
figure|vi. figure (as sth) (in/among sth) 无被动形式，指出现于…或被包括于…中，是某个进程、情况等的一部分（常是重要部分），相当于feature
fine|adj. [术语] 指金属只含一种物质的，不含其他物质因而不减低该金属的质量的，即纯的，无杂质的
flavour|n. [sing.] 某种特点、特色、气氛
fluctuate|vi. ~ (between A and B) 尺寸、规模、数量、质量等经常性变化，尤指在两个极端之间变化，即波动、起伏。相当于vary
fluctuation|n. [C, U] ~ (in/of sth)（大小、数量、质量等）在两个极端之间的波动
flush|n. [sing.] 突然快速的增多，即激增、大量涌现出
flush|vt.&vi. 把（人或动物）驱赶出、把…赶出
focus|vt.＆vi. focus (sth) (on/upon sb/sth) 集中（注意力、精力等）于…上
form|vt. 构成
fragment|n. [C] 碎片、片段
frame|n. 1 [C]（图画、门、玻璃等的）框架
framework|n. [C]（某一体系的）结构
full|adj. 常用于名词前，完全的，完整的，详尽的，无遗失的
further|adj.（far的比较级）更多的；更进一步的；附加的
fuse|vt.&vi.（使）融合、熔接、结合
fusion|n. [U, sing.]（两个或多个事物的）融合、结合，是一种过程或结果
fussy|adj. 过分琐碎的
gain|n. [C, U] 某事物数量的增加，尤指财富或重量的增加
gain|vt. 逐渐获得更多…，即增加，增长，与lose相反
gallop|vi.（难以控制地）飞速发展、高速增长
garner|vt. [正式] 获得或收集（信息、支持等有用的或有价值的事物）
gather|vt. 准备好去做（需要付出努力的）事情，即积聚（力量、精神等）
gather|vt. 增加（速度、力量、势头、灰尘等）
gather|vt.＆vi. 来到一起（或把人们带到一起）并在一个地方形成一个群体，即聚集；集合；召集
gather|vt.（从不同的信息来源）收集或搜集信息
gathering|n. [U] 收集、采集、搜集
general|adj. 1 指未限定在一个人或事物的一个部分或一个方面的，即整体的，全身的，全面的
global|adj. [常用于名词前] 整体的、全面的、包含了某事物的各部分的
go|vi. 1 离开一个地方（而去另一个地方），相当于depart。是一个简单用词
go|vi.（某事物）加入（到另一事物中，构成后者的一个组成部分或成分）
gross|adj. [只用于名词前] 未将任何数量剔除的，即总的、毛的
gross|adv.（数量）未将任何数量剔除地，即总共
grow|vi. grow (in sth) 尺寸、数量、强度或品质的增长
growth|n. 1 [U] growth (in/of sth) 某事物在尺寸、数量或程度上的增加、增长
gyrate|vi. 价格、货币等快速且不可控地上下波动
hack|vt.&vi. 大幅缩减（大小、长度）
hack|vt.&vi. 大幅降低（价格）
half|adv. 部分地
half|det., pron. half the time, fun, trouble, etc. 某事物（如时间、乐趣、麻烦等）的最大一部分
half|n. [C]（体育比赛、音乐会等的）半场或半局
halve|vt. 把…分成相等的两半
halve|vt.&vi.（使）减半
have|vt.（也可用have got）have sb with you 同某人在一起
have|vt.（也可用have got）由…组成。是一个简单用词
heartbeat|n. [sing.] [美] the ~ of sth 某事物的重要特征（是一种使该事物区别于别的事物的本质特征）
heave|n. [U] [尤文学] 起伏运动
heave|vi. ~ (with sth)（强烈而有节奏地）起伏
herd|vt. 使某人或某事物朝某个方向移动
hike|n. [C] [非正式，尤美] ~ (in sth)（价格、花费、比率、税率、数量等的）大幅度提高，猛增
hike|vt. ~ sth (up) 把（价格、花费、比率、税率、数量等）大幅提高
hitch|vt. ~ sth (up) 提起或拉起衣服
hitch|vt. ~ yourself (up, etc.) 攀登上一个更高的位置
hold|vt.（有足够的空间来）容纳或包含
hover|vi.（价格、价值、分数等）上下波动（而不发生大的变化）
huddle|n. [C]（在美式足球中）队员靠拢成圆形（磋商接下来的比赛战术）
huddle|vi. 人们聚在一起（静静地或秘密地讨论某事）
huddled|adj. 一群人聚集在一起的
identification|n. [U, C] identification (of sb) (with sb/sth) 在不同的人（或事物）之间建立紧密联系的过程，即密切联系
in|prep. 参加，参与
in|prep. 构成…的整体（或部分），包含在…之内
include|vt. 1 某事物以其他事物作为其一部分，可称为包含、包括。一般也不表示空间上的“容纳”，而表示“包括”在概念上能明确界定的一些部分，且该词后面也不必列出所有组成部分（如这份文件“包含”文字和图片等）
inclusion|n. 1 [U]（被）包含、（被）包括
inclusive|adj. 1 ~ (of sth)（价格）包含全部费用的，或包括所提到的费用在内的
incomplete|adj. 不完整的
incorporate|vt. ~ sth (in/into/within sth) 把某事物包括进来，使其成为某事物（如一个更大的群体、体系、思想等）的一部分，如纳入、并入
increase|n. [C, U] increase (in sth)（某事物的数额、数量或价值）增长，增加
increase|vt.＆vi. increase (sth) (from A) (to B) / increase (sth) (by sth)（数额、数量、价值等）增长，增加；使（数额、数量、价值等）增长，增加
individual|adj. 1 [只用于名词前]（常用于each之后）单独的、个别的
individuality|n. [U]（某人或某事物的）个性特征（可以区别于别的人或事物），如独特性
indulge|vi. ~ in sth 参加、参与，尤指参与违法活动
ingredient|n. 1 [C] ~ (of/in/for sth) 成分，尤指烹饪的原料
initiate|n. [C] 新加入某个群体、机构或宗教并学习该机构的规则和了解该机构的秘密的一个人
initiate|vt. ~ sb (into sth)（尤指在秘密仪式上）使某人加入一个群体
initiation|n. [U] ~ (into sth)（常指通过特别仪式的）入会；某人初次参加某活动
inject|vt. ~ sth (into sth) 给某事物添加某种品质
inseparable|adj. 1 ~ (from sth)（与某事物）不可分离的，分不开的
insulate|vt. ~ sth (from/against sth) 用某种材料来隔热、隔音等
insulated|adj. 有隔热（或隔音、绝缘）保护的
integral|adj. [常用于名词前] 作为某事物的一部分而被包含的（而非分别供应的）
integral|adj. [常用于名词前] 完整的，某事物拥有其全部部分的
integrate|vt.&vi. ~ (A) (into/with B) / ~ A and B（使）（两个或两个以上的事物）融合（从而使其能协同工作）
integration|n. 1 [U, C]（为使两者或两者以上的事物协同工作而对其进行的）整合、结合、一体化
integrity|n. [U] [正式] 完整、完好
intricacy|n. 1 [pl.] the intricacies of sth可指某事物错综复杂的部分、错综复杂的细节
intricate|adj.（拼合在一起的事物）有很多不同的部分和小细节交错在一起的，即错综复杂的
introduce|vt. [正式] introduce sth (into sth) 将某事物放入另一事物中，也可称为添入
intuitive|adj.（计算机软件等）易懂的且使用简便的
involve|vt. ~ sb (in sth/in doing sth) 使某人参加、加入、介入
involve|vt.（一种情况、一个事件或活动）牵涉或影响某事物。有时可翻译为“包含”
involved|adj. [名词前不可用] ~ (in sth) 参与某事
involved|adj. 复杂难以理解的
involvement|n. [U] ~ (in/with sth) 参与；加入；介入
irrelevant|adj. ~ (to sth/sb) 不相关的
isolate|vt. ~ sb/yourself/sth (from sb/sth) 将人（如病人、生病的动物、囚犯等）进行隔离，是一种地理意义上的隔离
isolated|adj. 单独的、只出现一次的，即（事件）孤立的、个别的
isolation|n. [U] in ~ (from sb/sth) 孤立
isolation|n. [U] in ~ 单独地；独自地
isolation|n. [U] ~ (from sb/sth) 对某人或某事物的隔离；被隔离的状态
issue|n. [U] 分发
join|n. [C] 两个事物被固定在一起的一个点，即连接点、连接处
join|vt.＆vi. 1 将两个或多个事物固定（或连接）在一起
join|vt.＆vi. 成为一个组织机构（或公司、俱乐部等）的一员，即参加、加入。是此义的基础和常规用词
joint|adj. [只用于名词前]（两人或两个以上的人）联合的、共同的
joint|n. [C] 一个物体的（尤指构成角的）接合处、接头（可以将两个或多个部分连接起来）
jump|n. [C] jump (in sth)（数量、数额、价格、价值等的）突然增长
jump|vi. 突然大幅增长，相当于leap
junction|n. [C] 两条或多条电缆、河流或其它事物的接合点
labyrinth|n. [C] 复杂的、千头万绪的、盘根错节的局势、过程或知识领域等
lace|vt. ~ sth (with sth) 给（饮料或食物等）掺入（少量的酒、药、毒药等）
lead|vi. lead from/to sth (to/from sth) 连接（两个物体或地方）
leap|n. [C] ~ (in sth) 突然大幅的增加
leap|vi. 突然大幅增加
leave|vt.＆vi. 1 离开（某人或某地）。是一个基础和常规用词
