apartment|n. 1 [C] [尤美]（通常指在同一楼层的）公寓套房
stack|n. [C]（尤指工厂的）大烟囱
stair|n. 1 [pl.] 建筑物内上下两层楼之间的一组台阶，即楼梯。stair是楼梯的常规用词
stair|n. [sing.] [文学] 建筑物内的楼梯通道，相当于staircase
staircase|n. [C] 建筑物内的一组楼梯（包括楼梯边的护栏）
stall|n. [C] [尤美] 房间内的由玻璃或墙壁隔开的小隔间，如淋浴室、洗手间
step|n. 1 [C] 一个台阶，尤指在同一梯级上若干节台阶中的一个（与专指室内台阶的stair相比，step既可指室内台阶，也可指室外的露天台阶）。step是台阶的常规用词
story|n. [C] [美] 楼层，相当于英式的storey
structure|n. [C] 由各部分组成的一个建筑物
studio|n. [C] 单间公寓（带厨房和卫生间）
style|n. 1 [U] 格调优雅，品味，风度
suite|n. [C] 一套房间（尤指旅馆的一套房间，也可指办公楼套间），即套间，套房
tenement|n. 1 [C]（尤指城市贫困区的）（大而旧的）公寓大楼
terrace|n. [C] [英]（常用于街名）：由相同类型的房子构成的一排连续的排房、排屋
threshold|n. [C] 门槛；进门处的地面
tile|n. 1 [C]（贴墙或铺地用的）瓷砖，地砖，小方地毯，片状材料
tile|vt. 铺瓦；铺地砖；贴瓷砖
tower|n. [C] 塔；或建筑物的塔形部分；（尤指教堂或城堡的）塔楼
tread|n. [C] 台阶（或楼梯）的上表面，即梯面，踏面
unit|n. 1 [C] [澳大利亚；新西兰] 也叫home unit，指（公寓或住宅的）一套，即单元
upstairs|adv. 在（或向）楼上；在（或向）建筑物的上一层（相对于你所在的那一层）
varnish|n. 1 [U, C]（涂在木头或其他材料表面的）清漆、罩光漆；指甲油
vault|n. [C] 建筑物的拱形房顶
vernacular|n. [U] [术语] 建筑的普通民间风格，即普通百姓的建筑风格（而非大型公共建筑风格）
villa|n. 1 [C] [英]（尤指地中海国家的）度假用的别墅
wall|n. 1 [C]（由石头、砖或混凝土砌成的，用于包围、分隔或保护一片土地的）墙
wall|vt. 常用被动式，指用墙把一个区域（如城镇）围住
wallpaper|n. [U]（用于贴在屋内的墙壁和天花板上的）壁纸、墙纸
wallpaper|vt.&vi. 给屋内贴壁纸
wash|n. [C] 置于一个表面上的薄薄的一层液体（尤指油漆或涂料），不太常用
window|n. 1 [C]（建筑物墙壁或顶棚的）窗户（可以让室内外空气流通，或让光线透进来）；也可指窗玻璃。是此义的常规用词
wing|n. [C] 主建筑物的侧翼部分
wire|n. [sing.] the wire 可指金属丝编制的栅栏，如铁丝网
woodwork|n. [U] 建筑物（或房间）内由木头作成的部分（如门、楼梯）
yard|n. [C] [英] 院子（建筑物外面的一片区域，常由硬质地面和一个围墙构成）
