action|n. [U, C]（战斗、战役或战争中的）作战，战斗
battle|n. [C, U]（尤指战争期间的）军事战斗，是“战斗”的常规用词。如果一场battle在原文中是战争双方主力所进行的一定范围内的一场决战，此时汉语中也可翻译为“会战”。但要注意，不要轻易将其翻译为“战役”，因为汉语中的“战役”一词，实际上包含了一系列相互关联的战斗
battlefield|n. [C] 战场
battleground|n. [C] 战场
blank|n. [C] 也可用blank cartridge，指枪炮中的空弹
blast|n. [C] 爆炸，或爆炸引起的强大的空气运动（即气浪、冲击波）
blast|vt.（朝某人）开枪射击
blaze|vt.&vi. ~ (away)（枪炮）连续射击
blitz|n. 1 [C, usually sing.] ~ (on sth) 突袭；闪电战
bloodshed|n. [U]（通常指战斗或战争中的）流血事件、人员伤亡
blow|vt. 用炸药炸开
bolt|n. [C]（与弓射出的箭相对应的）弩箭（是一种短且重的箭）
bomb|n. 1 [C] 炸弹
bomb|vt. 通过投掷（或放置）炸弹来发动袭击，如果从飞机上投掷则是轰炸。bomb一般是人所发出的动作
bombard|vt. ~ sb/sth (with sth) 用大炮或炸弹来轰击、轰炸一个地方
bombardment|n. [U, C]（猛烈而持久的）炮击或轰炸
bombing|n. [C, U] 炸弹的投掷或安放
booty|n. [U] 被盗的贵重物品（即赃物），尤指士兵的战利品
bow|n. [C] 作为武器的弓
boy|n. [pl.] our boys 对本国士兵的昵称，如兵哥哥们
brass|n. [U] [尤美]（军队的）高级军官，相当于top brass
brave|n. [C] [旧时] 美洲本地的印第安武士
brigade|n. [C]（陆军的）旅
bullet|n. [C] 子弹
burst|n. [C] 枪炮的一阵短促的射击
burst|vt.＆vi. 爆炸。本义是指物理上爆裂或胀开、炸碎（此现象常由于内部的压力而形成）。偶尔用于表示军事上的爆炸
bust|vt. [非正式] [尤美] 降低某人的军衔（作为一种惩罚）
cadet|n. [C] 军校学员
camp|n. [C, U] 军队的兵营。是一片地方，而非quarter那样指营房建筑。camp具体可指设立在野外，供士兵们临时居住的营区；也可指军队平时所驻扎的营区（士兵们可在此进行训练）；还可指战争中的战俘营或集中营
campaign|n. [C] 战争期间，为达到某一军事目的而进行的一系列战斗，即军事行动，战役（一场campaign包含了若干场battle）
cannon|n. 1 [C] 通常装有轮子并发射铁弹或石弹的旧式大炮
capability|n. [C] 国家的军事力量、军事武器
captain|n. [C] 军阶中的上尉、上校
captive|n. [C] 俘虏、战俘
capture|vt. 俘获某人，尤指在战争中擒获俘虏、缴获战利品
capture|vt. 用武力夺取一个地方、建筑物等的控制权，如攻占
catapult|n. 1 [C] [英] [美用slingshot] 弹弓
catapult|n. [C] 用于将飞机从舰船（如航空母舰）上弹射升空的弹射器
ceasefire|n. [C]（武装冲突中的）停火；停火协议
charge|n. [C] 士兵的冲锋
charge|n. [C] 射击或爆炸所需的炸药量
clip|n. [C] [尤美] 子弹夹、弹匣
club|n. [C] 作为武器的一种棍子（该棍子一头粗一头细）
cock|vt. ~ a gun/pistol/rifle 扣（或扳）上扳机准备射击
collaborate|vi. ~ (with sb) [贬] 帮助已经占领了自己国家的敌人，即通敌、勾结敌人
collaboration|n. [U] [贬]（战争期间的被敌人占领后的）通敌、勾结敌人
colonel|n. [C]（缩写为Col.）（陆军、海军陆战队或美国空军的）上校
combat|n. [U, C]（尤指战争期间的）搏斗、打仗、战斗
command|n. 1 [C] 指挥部，司令部
command|n. [C] 在军队中，Command可指陆军、空军等兵种中被分别组织和控制的部队，如兵团、军区等
commander|n. 1 [C] 某事的负责人，尤指军队的司令官、指挥官
company|n. [C]（部队的）连队
conduct|n. [U] [正式] 对战争的指挥或领导方式
conflict|n. [C] 军事冲突
confrontation|n. [U, C] ~ (with sb) / ~ (between A and B) 军事冲突、军事对抗
conquer|vt. 用武力征服一个国家、城市、地区和其人民
conquest|n. 1 [sing., U]（对一个国家、城镇等的）武装征服、占领
conscript|n. [C] [尤英] [美常用draftee] 应征入伍者
conscript|vt. [常用被动式] ~ sb (into sth) [尤英] [美常用draft] 将某人征召入伍
conscription|n. [U] [尤英] [美通常用the draft] 征兵、征募
contingent|n. [C]（军队或军用车辆的）分队
conventional|adj. 常作前置定语，（尤指武器）非核的，即常规的
corporal|n. [C]（缩写为Cpl）（陆军、美国海军陆战队或英国空军的）下士
corps|n. 1 [C] （由两个或两个以上的师组成的）军，兵团
corridor|n. [C] 空中走廊（一国领空中允许他国飞机经过的区域）
counter-attack|n. [C]（战争中的）反攻、反击
cruiser|n. [C] 巡洋舰
crusade|n. [pl.]（有时用Crusade）the Crusades可指（发生于11世纪至13世纪的）十字军东征
dart|n. [C]（作为武器的）飞镖
defend|vt.＆vi. defend (sb/yourself/sth) (from/against sb/sth) 防御或保卫领地，以使其免遭攻击
defensive|adj. 防卫的、防御的
deploy|vt. [术语] 部署或调度（军队或武器）
deployment|n. [U, C]（部队、军事装备的）部署、调集、调度
detachment|n. [C] 从一个大的群体中被派出去（尤指执行特殊任务）的一组士兵、船队等，如支队、分遣队、特遣小分队
detail|n. [C] 肩负特殊任务的一群士兵，如特遣队、小分队、支队
deterrent|n. [C] 威慑性的武器
device|n. [C] 爆炸装置、爆炸性武器、炸弹
disarmament|n. [U] 裁军；裁减军备（尤指裁减核武器）
discharge|vt. [正式]（某人）开火、击发（枪、炮）
division|n. [C] 一种军队编制，相当于师
down|vt. [非正式] 击落飞机等
draft|n. [sing.] [尤美] the draft可指征兵或征用，相当于conscription
drill|n. [U] 一群人（尤指士兵）所做的训练或操练，如行军、使用武器等。强调一种重复性，即为了完成某个训练目标而反复训练，因而在外人看来有一种枯燥感
duel|n. [C] 两个或两群人之间的冲突
dump|n. [C]（军队中粮食、武器等军需品的）临时存放处
dynamite|n. [U] 烈性炸药
dynamite|vt. 炸毁、爆破
enemy|n. [Sing., C] 敌国，敌军
engage|vt.&vi. [正式] 与某人交战或开战
engagement|n. [C, U] [术语] 两支军队等之间的战斗
engineer|n. [C] 军队中的工兵，即受训来设计并建造军事设施的士兵
enlist|vt.&vi. ~ (sb) (in/into/for sth) / ~ (sb) (as sth)（使）入伍、从军
espionage|n. [U]（政治、军事、商业等领域的）间谍活动、谍报活动
exercise|n. [C, usually pl.] 士兵或警察的操练或演习，是此义的简单用词，也是一个基础常用词
explode|vt.＆vi. 爆炸，或使爆炸（即爆破），相当于blow up。explode一般是爆炸物本身所发出的动作（如其动作由人发出，则为“引爆”的意思）
explosion|n. 1 [C]（炸弹等的）爆炸
explosive|adj. 易爆炸的；可能爆炸的
explosive|n. [C, U] 炸药；爆炸物
fight|vt.＆vi. fight (against sb) 与敌人作战，打仗，战斗
fighting|n. [U] 战斗
fire|n. [U] 射击或火力
firearm|n. [C] [正式] 便携式的、可佩戴的枪支
fist|n. [C] 拳头
flash|n. [C] [英]（佩戴在军服上以表明一个人军阶的）条或小布片，如肩章、臂章等
fleet|n. [C]（由同一人率领的）舰队
fleet|n. [sing.] the fleet指（一国的）全部军舰
force|n. 1 [U] 武力
fort|n. [C] [美] 士兵居住并训练的一个地方，即兵营、军营
fort|n. [C] 要塞；堡垒
fortify|vt. ~ sth (against sb/sth) 构筑防御工事，尤指筑城防御
fortress|n. [C] 城堡、堡垒、要塞、设防的地方（可以是一栋建筑物，也可以是一个地方）
front|n. [C, usually sing.] 战争中可指发生战斗的地方，即前线，前方。是此义的常规用词
fuse|n. 1 [C]（炸弹的）导火线、导火索
gas|n. [U] 战争中用来杀人的毒气
general|n. [C] 将军
grade|n. [C] [美] 军衔
grenade|n. [C] 可用手投掷或用枪炮发射的小型炸弹，即手榴弹、枪榴弹
grunt|n. [C] [美，非正式] 低级别的士兵，如大兵
guard|n. [C] the Guards 为复数名词，在英国和其他一些国家可指守卫国王或王后等的禁军、御林军、禁卫军
guerrilla|n. [C] 游击队员
gun|n. [C] 枪，炮。是此义的基础用词和常规用词
gunfire|n. [U] 接连不断的炮火；接连不断的炮火声
gunshot|n. [C] 枪炮的射击；枪炮声
gunshot|n. [U] 射出的子弹或炮弹
gunshot|n. [U] 枪炮的射程
hammer|n. [C]（枪炮内部使其击发的）击铁
harass|vt. 不断攻击敌人
hardware|n. [U]（例如坦克、飞机、导弹等类型的）军事装备、重武器
headquarters|n. [U, C]（缩写为HQ）军事行动的司令部
helmet|n. [C] 头盔
hit|vt. 常用被动式，指子弹、炸弹、导弹（或子弹的射击者、炸弹的投掷者）等命中，为此义的基础通用词
hit|vt.＆vi. 攻击，进攻，袭击。其词义范围和色彩相当于attack，但远不如attack常用
hold|vt. 守卫…（使其免受攻击）；控制…；占据…（如军队或暴力团体用武力控制一个地方）
hostile|adj. 属于敌军的
hostility|n. [pl.] [正式] hostilities指战争行为
incident|n. [C] 国内的重大军事性事件（常是变故、坏事等）；两国间的分歧，常涉及军事冲突
infiltrate|vt.&vi. ~ (sb) (into sth)（使）悄悄进入一个地方或组织机构（尤指为了获取情报以攻击此地或此机构）
infiltration|n. [U]（对某个组织的）渗透
informer|n. [C]（向警方或当局告发非法行为的）告密者、线人
invade|vt.&vi. 用军事力量入侵一个国家、城镇等，即侵略、侵犯
invader|n. [C] 对别国进行武装入侵的一支军队或一个国家，还可指此种军队中的一个士兵，即侵略者
invasion|n. [C, U] 对别国的武装入侵
irregular|adj.（部队）非正规的
knight|n. [C]（中世纪的）骑士
lance|n. [C]（旧时骑兵用的）长矛
legion|n. [C] 军团、兵团，尤指古罗马的军团
line|n. [C] 尤指从前由军队占据并把守的、由一系列防御工事组成的防线、战线、前线。是一种界线的概念（而front是一种方向的概念）
live|adj.（常作前置定语）（子弹）实弹的；（火柴）仍可点燃的；随时可用的
loose|vt. [正式] loose sth (off) (at sb/sth) 射出（子弹、箭等）
loot|n. [U] 士兵在战斗胜利后得到的战利品、掠夺品
magazine|n. [C] 存储武器弹药的一个房间或一栋建筑物，即弹药库；军火库；军械库
magazine|n. [C] 枪炮的弹仓；弹盒；弹盘（即枪炮上装弹药的部分）
mail|n. [U] 一种灵活的金属铠甲，即锁子甲，相当于chain mail
major|n. [C]（陆军或美国空军的）少校
man|n. [C, usually pl.] 遵照上司的指令的战士，不包括军官，此时是一种非正式用法
manoeuvre|n. [pl.] manoeuvres 可指有很多士兵、舰船等参与的军事演习
march|vt.＆vi.（使）士兵以僵硬而有规律的步调走路，即（使）齐步走，行军，或其它主体与此类似的行进方式
marshal|n. [C]（通常用于构成复合词）英国等国的陆军或空军的最高指挥官，即元帅
mate|n. [C] 美国海军的军士
mercenary|n. [C] 雇佣兵
mess|n. [C] 也可用mess hall，在美语里尤其如此，武装力量（如军队）的一栋（或一间）食堂
military|adj. 1 [常用于名词前] 军事的、军队的、军用的
military|adj. 陆军的
military|n. [sing.] the military 指军队、军方、军人（表军人时尤指高级军官）
militia|n. [sing.] 民兵组织；国民自卫队（非专业的军事组织）
mine|n. [C] 地雷；水雷
minefield|n. [C]（陆地或水上的）雷区、地雷区、水雷区
missile|n. [C] 导弹
mission|n. [C]一个或一群士兵等所执行的一项重要任务，即军事行动
moat|n. [C]（城堡等周围的）护城河（起对敌防御的作用）
mole|n. [C]（组织机构或国家的）间谍、内奸、卧底
mortar|n. [C] 迫击炮；迫击炮弹
musket|n. [C] 旧时的火枪、滑膛枪
muzzle|n. [C] 枪口或炮口
navy|n. [C] 海军
nuclear|adj. 与核武器有关的
occupation|n. [U] 对一地的军事占领，也可指占领期
occupied|adj.（国家等）被别国军事占领的
occupy|vt. 占领一个地方，尤指军事占领
offensive|adj. [只用于名词前] 攻击性的、进攻性的
officer|n. [C] 军官
onslaught|n. [C] ~ (against/on sb/sth) / ~ (of sth) 猛烈的攻击
operate|vi.（士兵）在某地采取军事行动
operation|n. [C] 军事行动（此时通常用复数）
operational|adj. [只用于名词前] 军事行动的
operative|n. [C] [尤美]（尤指为政府效力的）秘密工作人员、特工
orderly|n. [C] 勤务兵（通常不需要专门培训）
pack|n. [C] 一队童子军
page|n. [C] 中世纪的学习骑士（即效力于一名骑士，同时接受训练以成为一名骑士的一个男孩或年轻男子）
parade|n. [C, U]（对士兵进行的）检阅、阅兵
patrol|n. [C] 军队的巡逻队、巡逻车队、巡逻船队
patrol|n. [C] 童子军小队
peace|n. [U, sing.]（一国或一地区的）和平，是没有战争或暴力的一种状态或一段时期
peaceful|adj. 1 没有战争、暴力或争论的，即和平的
penetrate|vt.&vi. 成功地渗透或打入一个组织机构、团体、防线等
piece|n. [C] [美，俚语] 枪，枪支
pike|n. [C]（过去步兵用的）长矛
pin|n. [C] 手榴弹上的保险栓或保险针（可在投掷之前拉开）
pistol|n. [C] 手枪
plant|n. [C] 打入犯罪集团或敌人内部的卧底、内线。从收集情报的角度，plant是一种spy，但一个plant有时还负有别的责任，如在敌人内部从事各种破坏活动，此时其词义范围则超出了spy
plant|vt. 把…秘密放置在某处以使其不被发现，尤指埋设炸弹
platoon|n. [C]（军队的）排（通常由中尉指挥）
plug|vt. [美，旧时，非正式] 朝某人射击
position|n. [C, usually pl.] 战争中可指阵地
pot|n. [C] 某人未经仔细瞄准所做的射击，即盲目射击，相当于potshot
pound|vt. 在一段时间内对一个地区狂轰滥炸，在词义范围上，pound隶属于bomb，但pound更强调轰炸的猛烈性
powder|n. [U] 火药，相当于gunpowder
presence|n. [sing.] 被派到某地去处理事情的一群士兵
prisoner|n. [C] 被敌人捕获并被关押起来的人，即俘虏
private|n. [C] [英] 级别最低的士兵，即列兵
push|n. [C] 大规模、果断的军事进攻。是一个简单用词
push|vi.（军队）快速穿过一个地区，即挺近，推进
quarter|n. [pl.] 提供给士兵居住的一些房间（如营房或宿舍）
quiver|n. [C] 箭筒、箭套、箭囊
raid|n. [C] ~ (on sth) 士兵、舰船或飞机对敌人发起的突然袭击
range|n. [C, U]（枪炮或其他武器的）射程；射击距离
range|n. [C] 可以练习射击，或测试炸弹等的一片地域，即靶场；射击场；炸弹试验场
rank|n. 1 [C] the ranks 为复数名词，指某一组织中的普通成员，尤指普通士兵而非军官。此时词义与soldier相似，但是the ranks算是一种形象化用法，远没有soldier通用
rank|n. [C, U] 军队的级别，即军衔。是此义的常规用词
rating|n. [C] [英] 海军士兵、海军水手（而非海军军官或没有级别的人员）
rating|n. [C] 军队的军阶
recoil|vi. 枪炮射击时快速向后移动，即反冲，产生后坐力
recruit|n. [C] 新兵
recruit|vt.&vi. 招募新人（使其加入一个武装部队）
recruitment|n. [U] 士兵的招募
regiment|n. [C]（军队的）团
regular|adj. 只作前置定语，正规军的
rehearsal|n. [C, usually sing.] ~ (for sth) 为应对未来发生之事件所进行的军事演习
reinforcement|n. [pl.] reinforcements可指被派到某地的（军队的）援军
relief|n. [C] relief of ... 将被敌军围困的城镇等解困，解围
relieve|vt. 将（城镇等从敌军的围困中）解围
reserve|n. [C] the reserve或the reserves也指军事中的预备役部队
review|n. [C] [正式] 重要人物检阅士兵的一种仪式，即阅兵式
revolver|n. [C] 左轮手枪
rifle|n. [C] 步枪、来福枪
rocket|n. [C] 火箭武器；火箭弹
rod|n. [C] [美，俚语] 手枪
round|n. [C] 一发子弹
round|n. [C] 一次射击
safety|n. [C] [美] 相当于safety catch，即枪炮或机器设备的保险栓
salute|vt.＆vi.（尤指军队中）敬礼（将右手手指置于头侧以示敬意）
scalp|n. [C]（旧时美洲土著从被杀的敌人头上剥下作为战利品的）带发头皮
scout|n. 1 [pl.] the Scouts（官方叫法为the Scout Association）童子军
scout|n. [C] 对敌方阵地进行侦查的飞机，即侦查机
seize|vt. seize sth (from sb)（常指突然而暴力地）在军事上夺取一个地方或一种情况的控制权
seizure|n. [U] ~ (of sth) 利用武力对一个国家、城镇等进行的控制，即占领、夺取
serve|vt.＆vi. serve (sb) (as sth) / serve (in/on/with sth) / serve (under/with sb)（军人为国家而）效力，服役
service|n. [C, usually pl, U] 陆海空三军，不常用
service|n. [C, usually pl, U]（在军队中所服的）兵役，是此义的常规用词
shaft|n. [C]（矛的）杆
shaft|n. [C]（箭的）杆
shell|n. 1 [C] 炮弹
shell|vt.&vi. 朝着…发起炮击、炮轰
shield|n. [C] 士兵用的金属或皮革盾牌
shoot|vt.＆vi. 1 shoot (sth) (at sb/sth) / shoot sth (from sth) 用枪或其他武器射击，发射
shot|n. 1 [C] shot (at sb/sth) 射击；射击声
shotgun|n. [C]（同时发射很多小的金属子弹的）枪，尤用于射杀禽鸟和动物
shrapnel|n. [U]（炮弹或子弹）飞溅的金属弹片
side|n. [C]（战争中的）一方或一派
sight|n. [C, usually pl.] 枪炮的瞄准装置
sink|vt. 击沉舰船等
skirmish|n. [C] 两群士兵等之间的小规模短时间的战斗，尤指未经策划的战斗（如遭遇战）
sling|n. [C] 旧时的一种用皮革等制成的、用于投掷石块的简单武器，即投石器
smart|adj. 武器、炸弹等由电脑控制，因此能智能化操作的，即智能的
soldier|n. [C] 军人，尤指士兵（通常不包括军官）。是此义的常规用词
spear|n. [C] 矛，标枪，可用于战斗、打猎或打鱼
spoil|n. [pl.] [正式或文学] the spoils 可指在战争或战斗中被获胜方拿走的战利品
spray|n. [U, C] 枪械的扫射
spy|n. [C] 间谍或密探，即试图收集关于另一个国家、组织或个人的秘密信息的人，尤指受雇于政府或警方的间谍。是此义的基础用词，极为常用
squad|n. [C] 执行特殊任务的一群人，即特殊任务小组
squad|n. [C]（军队的）班
stack|vt. 在（某组织机构中）安插（对自己有利的人员）
staff|n. [C] 军队中的全体参谋人员（负责协助司令员）
station|n. [C] 陆军或海军的一个小型基地；还可指驻扎在其中的人员
steel|n. [U] [旧时或文学用法] 兵器
stock|n. [C] 枪托
storm|vt.＆vi. 突然袭击或攻占一个地方，强调进攻的突然性和猛烈性，算是一种形象化用法
strike|vi. 军事袭击，尤指突然袭击
stripe|n. [C]（军装上表示等级或服役年限的）条、杠（常为V字型）
submarine|n. [C]（缩略形式为sub）潜艇
surprise|vt. 突然且意外地攻击某人，强调进攻的突然性和意外性（一般是令敌人意外）
swoop|vi. ~ (on sb/sth)（尤指士兵）突然来到或突然袭击某人或某事物（而不给予预先警告）
takeover|n.（对一个国家、地区、政治组织等的）强行接管（常指武装占领、接管或控制）
tank|n. [C] 坦克
tattoo|n. [C] [尤英] 野外军事表演（包括齐步前进、军乐和军事演习）
thrust|n. [C] 快速且突然的朝某个方向的移动，算是一种比喻用法
torpedo|n. [C]（舰船或潜艇发射的）鱼雷
torpedo|vt. 用鱼雷袭击（或击沉）船只
tour|n. [C] tour of duty可指在部队服役，此时远不如service常用
trench|n. [C] 战壕（the trenches 常指第一次世界大战的西线战场）
trigger|n. 1 [C] 枪的扳机
troop|n. 1 [C] troops 为复数名词，指一群士兵，尤指一大群执行某项任务的士兵。也可翻译为“一股部队”，但并不特指陆海空三军中的任何一个兵种
trophy|n. [C] 战争中获得的战利品
truce|n. [C]（两个人、群体或国家之间的）（短时的）休战协议或休战期
unit|n. [C] 一群工作或生活在一起的人（尤指为某一目的）
vet|n. [C] [美，非正式]（尤指经历过战争的）老兵、老战士。相当于veteran
veteran|n. [C]（也可用美式非正式的vet）（尤指经历过战争的）老兵、老战士
volley|n. [C] 子弹（或石头等）的同时齐发或群射
volunteer|n. [C] 志愿兵或义勇军（即非被强迫而主动选择参军的一个人）
volunteer|vi. volunteer (for sth) 未被强迫而主动加入部队等，如自愿参军，当志愿兵等
war|n. [U, C] 战争，战争状态
warfare|n. [U] 作战、参战（尤指使用武器或策略的作战）
warrior|n. [C] [正式]（尤指旧时的）战斗或战争中的武士、勇士、斗士
warship|n. [C] 军舰、战舰、战船
water|n. [pl.] 某一国的领海
weapon|n. [C] 打架或袭击用的东西，可称为武器、兵器、凶器
wipe|vt. 歼灭
